RamanShift,CaZn2
49.85,-6.86E-05
50.81,-2.75E-05
51.78,7.75E-06
52.74,3.77E-05
53.71,7.30E-05
54.67,0.000124841
55.64,0.000208309
56.6,0.000292823
57.56,0.000381016
58.53,0.000466509
59.49,0.000539198
60.46,0.000581733
61.42,0.000610889
62.38,0.000619932
63.35,0.000611958
64.31,0.000603686
65.28,0.000619524
66.24,0.000650209
67.21,0.000697049
68.17,0.000760521
69.13,0.000840982
70.1,0.000923874
71.06,0.001006511
72.03,0.001082776
72.99,0.001143934
73.96,0.001187261
74.92,0.00122529
75.88,0.001246578
76.85,0.0012541
77.81,0.001268559
78.78,0.001300326
79.74,0.001337081
80.71,0.001383152
81.67,0.001438217
82.63,0.001489513
83.6,0.001521275
84.56,0.001539443
85.53,0.001547175
86.49,0.001546712
87.45,0.00155654
88.42,0.001600285
89.38,0.001669064
90.35,0.001749906
91.31,0.001820731
92.28,0.001883032
93.24,0.00192342
94.2,0.001934838
95.17,0.001921944
96.13,0.001915589
97.1,0.001912023
98.06,0.001909104
99.03,0.001902546
99.99,0.001888338
100.95,0.001885509
101.92,0.001919921
102.88,0.001971599
103.85,0.002033782
104.81,0.002100813
105.78,0.00216358
106.74,0.002204649
107.7,0.002223724
108.67,0.002221815
109.63,0.00220024
110.6,0.002149766
111.56,0.00211809
112.52,0.002115908
113.49,0.002142867
114.45,0.002173043
115.42,0.002208689
116.38,0.002235051
117.35,0.002249194
118.31,0.002251398
119.27,0.002249105
120.24,0.002252743
121.2,0.002268168
122.17,0.002296298
123.13,0.002332457
124.1,0.002354563
125.06,0.002351184
126.02,0.002328877
126.99,0.002297395
127.95,0.002270376
128.92,0.002256795
129.88,0.002249553
130.85,0.002247451
131.81,0.00224679
132.77,0.002243981
133.74,0.002238938
134.7,0.002239155
135.67,0.002248913
136.63,0.002266726
137.59,0.002276292
138.56,0.002281873
139.52,0.002282756
140.49,0.002277332
141.45,0.002262104
142.42,0.002240747
143.38,0.002209033
144.34,0.002168678
145.31,0.002126087
146.27,0.00209227
147.24,0.002085948
148.2,0.002089507
149.17,0.002096309
150.13,0.0021041
151.09,0.002115838
152.06,0.002143074
153.02,0.002154649
153.99,0.002147764
154.95,0.002124551
155.92,0.002099058
156.88,0.00206508
157.84,0.002030422
158.81,0.001999449
159.77,0.001976076
160.74,0.001962246
161.7,0.001953156
162.66,0.001941385
163.63,0.00192356
164.59,0.00190045
165.56,0.001879874
166.52,0.001870992
167.49,0.001871809
168.45,0.001880878
169.41,0.00189724
170.38,0.001917074
171.34,0.001913684
172.31,0.001895828
173.27,0.001870917
174.24,0.00184786
175.2,0.001821483
176.16,0.001801281
177.13,0.001781608
178.09,0.001759152
179.06,0.001730105
180.02,0.001707314
180.99,0.001699028
181.95,0.001702217
182.91,0.001711554
183.88,0.001716198
184.84,0.001700207
185.81,0.001682781
186.77,0.001673961
187.74,0.00167866
188.7,0.001689736
189.66,0.001684592
190.63,0.001662953
191.59,0.001631528
192.56,0.001600087
193.52,0.001586293
194.48,0.001589559
195.45,0.001581666
196.41,0.001557958
197.38,0.001524868
198.34,0.001506588
199.31,0.001514025
200.27,0.001526801
201.23,0.001540232
202.2,0.001554445
203.16,0.00158111
204.13,0.001620114
205.09,0.001644833
206.06,0.001646856
207.02,0.001627991
207.98,0.001613219
208.95,0.001608663
209.91,0.001607059
210.88,0.001606716
211.84,0.001604097
212.81,0.001608138
213.77,0.001626237
214.73,0.001646504
215.7,0.001664959
216.66,0.001677175
217.63,0.001687438
218.59,0.001694061
219.55,0.001695662
220.52,0.001695835
221.48,0.001695748
222.45,0.001698519
223.41,0.001698889
224.38,0.001692626
225.34,0.001677902
226.3,0.001662095
227.27,0.001665514
228.23,0.001673267
229.2,0.001680343
230.16,0.001689556
231.13,0.001709648
232.09,0.001726668
233.05,0.001732089
234.02,0.00173363
234.98,0.00172785
235.95,0.001710839
236.91,0.00168378
237.88,0.001674863
238.84,0.001688303
239.8,0.001721366
240.77,0.001765494
241.73,0.001794267
242.7,0.001812584
243.66,0.001837578
244.62,0.001873704
245.59,0.001917038
246.55,0.001936815
247.52,0.001947385
248.48,0.001951812
249.45,0.001952802
250.41,0.001948334
251.37,0.00195598
252.34,0.001981364
253.3,0.002013929
254.27,0.002049545
255.23,0.002081752
256.2,0.002094424
257.16,0.002080625
258.12,0.002057391
259.09,0.002042159
260.05,0.00204872
261.02,0.002088874
261.98,0.002143297
262.95,0.002191735
263.91,0.002219656
264.87,0.002215389
265.84,0.002179455
266.8,0.002152516
267.77,0.00214366
268.73,0.00214422
269.69,0.002143691
270.66,0.002133296
271.62,0.002137419
272.59,0.002154514
273.55,0.00217358
274.52,0.00218278
275.48,0.002171631
276.44,0.002132793
277.41,0.002081257
278.37,0.002044387
279.34,0.002044323
280.3,0.002095981
281.27,0.002164902
282.23,0.002232234
283.19,0.002289598
284.16,0.002321056
285.12,0.002299311
286.09,0.002243043
287.05,0.00222584
288.02,0.002257169
288.98,0.002323433
289.94,0.002383699
290.91,0.002403903
291.87,0.002407528
292.84,0.002410075
293.8,0.002424707
294.76,0.002460678
295.73,0.002512776
296.69,0.002556113
297.66,0.002590772
298.62,0.002622119
299.59,0.002659515
300.55,0.002695895
301.51,0.002708153
302.48,0.00271703
303.44,0.002723426
304.41,0.002718114
305.37,0.002693611
306.34,0.00271284
307.3,0.002769008
308.26,0.002836395
309.23,0.002891165
310.19,0.002934113
311.16,0.002978692
312.12,0.003012431
313.09,0.003035465
314.05,0.00305353
315.01,0.003090209
315.98,0.003160843
316.94,0.003235614
317.91,0.00329475
318.87,0.003323904
319.83,0.003322786
320.8,0.003306422
321.76,0.003297319
322.73,0.003311249
323.69,0.003352133
324.66,0.003402452
325.62,0.003458168
326.58,0.003516863
327.55,0.003569522
328.51,0.003619745
329.48,0.003682329
330.44,0.003762468
331.41,0.003831299
332.37,0.003893745
333.33,0.003967364
334.3,0.004067316
335.26,0.004182766
336.23,0.004266491
337.19,0.004334193
338.16,0.00441211
339.12,0.004524892
340.08,0.004681446
341.05,0.004835152
342.01,0.004964639
342.98,0.005067152
343.94,0.005149022
344.91,0.005218859
345.87,0.005308807
346.83,0.005443552
347.8,0.005608077
348.76,0.005777873
349.73,0.005923087
350.69,0.006042978
351.65,0.006178204
352.62,0.006321862
353.58,0.006461847
354.55,0.006585315
355.51,0.00670933
356.48,0.006864066
357.44,0.007041929
358.4,0.007223973
359.37,0.007390974
360.33,0.007525628
361.3,0.007626576
362.26,0.007717182
363.23,0.007819229
364.19,0.00795372
365.15,0.008130518
366.12,0.008317993
367.08,0.00846611
368.05,0.008581228
369.01,0.00867952
369.98,0.008791162
370.94,0.00894083
371.9,0.009089804
372.87,0.009219386
373.83,0.009347783
374.8,0.00949796
375.76,0.0096791
376.72,0.009813111
377.69,0.009925618
378.65,0.01003674
379.62,0.01015202
380.58,0.010259386
381.55,0.010375816
382.51,0.010492479
383.47,0.010596525
384.44,0.010683262
385.4,0.010773306
386.37,0.010922413
387.33,0.011133815
388.3,0.011355219
389.26,0.011543869
390.22,0.011667665
391.19,0.011731448
392.15,0.011796686
393.12,0.011877904
394.08,0.011986403
395.05,0.012130202
396.01,0.012322595
396.97,0.012469316
397.94,0.01252512
398.9,0.012542278
399.87,0.012564935
400.83,0.012622162
401.79,0.012704156
402.76,0.012802744
403.72,0.012908402
404.69,0.013006021
405.65,0.01308219
406.62,0.013160804
407.58,0.013311106
408.54,0.013476549
409.51,0.013587181
410.47,0.01360168
411.44,0.013516312
412.4,0.013424204
413.37,0.013384775
414.33,0.013395872
415.29,0.013441815
416.26,0.013495607
417.22,0.013511944
418.19,0.013513641
419.15,0.013542691
420.12,0.013587072
421.08,0.013617901
422.04,0.01360529
423.01,0.013556802
423.97,0.013497849
424.94,0.013423441
425.9,0.013340269
426.86,0.013281217
427.83,0.01330847
428.79,0.013379559
429.76,0.013387458
430.72,0.013317128
431.69,0.013194004
432.65,0.013079213
433.61,0.013008538
434.58,0.012984709
435.54,0.012997559
436.51,0.013014584
437.47,0.012999397
438.44,0.012930578
439.4,0.012840806
440.36,0.012758272
441.33,0.012681397
442.29,0.012603484
443.26,0.012521203
444.22,0.012474305
445.19,0.01246381
446.15,0.012473062
447.11,0.012486248
448.08,0.012501696
449.04,0.012510523
450.01,0.01246596
450.97,0.012391656
451.93,0.01232501
452.9,0.012278893
453.86,0.012240297
454.83,0.012178649
455.79,0.012080432
456.76,0.011948167
457.72,0.011808261
458.68,0.011694887
459.65,0.011661591
460.61,0.011699946
461.58,0.011764246
462.54,0.011809171
463.51,0.011805128
464.47,0.011757545
465.43,0.011741881
466.4,0.011752219
467.36,0.011736099
468.33,0.011667788
469.29,0.011537526
470.26,0.011386962
471.22,0.011298735
472.18,0.011269264
473.15,0.011288286
474.11,0.011322456
475.08,0.01132809
476.04,0.011253223
477.01,0.011164675
477.97,0.011108761
478.93,0.011097225
479.9,0.011115022
480.86,0.011130191
481.83,0.011143316
482.79,0.011160624
483.75,0.011173325
484.72,0.011154293
485.68,0.01107988
486.65,0.01093642
487.61,0.010812468
488.58,0.010734045
489.54,0.010661739
490.5,0.01054953
491.47,0.010367153
492.43,0.010199735
493.4,0.010117918
494.36,0.010100854
495.33,0.010104919
496.29,0.010085115
497.25,0.010010791
498.22,0.009907835
499.18,0.009806319
500.15,0.009723436
501.11,0.009663578
502.08,0.009622668
503.04,0.009573979
504,0.009508129
504.97,0.009439619
505.93,0.009370439
506.9,0.009305829
507.86,0.009228444
508.82,0.009123791
509.79,0.009026004
510.75,0.008944542
511.72,0.008877455
512.68,0.00881957
513.65,0.008771325
514.61,0.008710203
515.57,0.008606579
516.54,0.008472721
517.5,0.008337901
518.47,0.008237453
519.43,0.008161208
520.4,0.008019515
521.36,0.007816507
522.32,0.007599841
523.29,0.007414999
524.25,0.007282193
525.22,0.007179244
526.18,0.007032329
527.15,0.006861793
528.11,0.006692784
529.07,0.006569012
530.04,0.006524318
531,0.006538449
531.97,0.006542363
532.93,0.006496951
533.89,0.006383817
534.86,0.006207782
535.82,0.005999439
536.79,0.005787572
537.75,0.005571873
538.72,0.005347353
539.68,0.005113688
540.64,0.004897355
541.61,0.004746097
542.57,0.004644353
543.54,0.00455011
544.5,0.00444201
545.47,0.004309399
546.43,0.004143982
547.39,0.003956311
548.36,0.003748962
549.32,0.003497489
550.29,0.003193561
551.25,0.002855709
552.22,0.002540683
553.18,0.002343759
554.14,0.002268494
555.11,0.002247474
556.07,0.00219349
557.04,0.002056965
558,0.00187306
558.96,0.001757184
559.93,0.001649044
560.89,0.001476751
561.86,0.001237082
562.82,0.000976875
563.79,0.000768404
564.75,0.000606493
565.71,0.000466245
566.68,0.000350577
567.64,0.000268161
568.61,0.000230417
569.57,0.000229254
570.54,0.00019125
571.5,0.000110575
572.46,2.95E-05
573.43,-6.31E-06
574.39,1.48E-05
575.36,3.60E-05
576.32,7.74E-05
577.29,0.000130427
578.25,0.000160685
579.21,0.000142007
580.18,9.43E-05
581.14,0.000113053
582.11,0.000224832
583.07,0.000366251
584.03,0.000499519
585,0.000609928
585.96,0.000717912
586.93,0.000835129
587.89,0.000914616
588.86,0.000997358
589.82,0.001133665
590.78,0.001347539
591.75,0.001597905
592.71,0.001730371
593.68,0.001797804
594.64,0.001880448
595.61,0.002011304
596.57,0.002187689
597.53,0.002406871
598.5,0.002654064
599.46,0.00285397
600.43,0.00300026
601.39,0.003125912
602.36,0.003276365
603.32,0.00346697
604.28,0.003704077
605.25,0.003972712
606.21,0.004236278
607.18,0.004473309
608.14,0.004680469
609.1,0.004866902
610.07,0.00505719
611.03,0.005306952
612,0.005585643
612.96,0.005837415
613.93,0.006031087
614.89,0.006231673
615.85,0.006520526
616.82,0.006816836
617.78,0.007085971
618.75,0.00733107
619.71,0.007564407
620.68,0.007792407
621.64,0.007970554
622.6,0.008123995
623.57,0.008284446
624.53,0.008473974
625.5,0.008712195
626.46,0.009018209
627.43,0.00936397
628.39,0.009669144
629.35,0.009895139
630.32,0.01005769
631.28,0.010210988
632.25,0.010419916
633.21,0.010710418
634.18,0.011021608
635.14,0.011314267
636.1,0.011555855
637.07,0.011739712
638.03,0.011897864
639,0.012109154
639.96,0.012393236
640.92,0.012691486
641.89,0.012967917
642.85,0.013208803
643.82,0.013424252
644.78,0.013557323
645.75,0.013641258
646.71,0.013768411
647.67,0.013946002
648.64,0.014181176
649.6,0.014487224
650.57,0.014868331
651.53,0.015180008
652.5,0.015361719
653.46,0.015435863
654.42,0.015479774
655.39,0.015595072
656.35,0.01585969
657.32,0.016217184
658.28,0.016565454
659.25,0.016853784
660.21,0.017053981
661.17,0.017182922
662.14,0.017309066
663.1,0.017521205
664.07,0.01778937
665.03,0.018061557
665.99,0.018307026
666.96,0.018508567
667.92,0.018700045
668.89,0.018881975
669.85,0.019043279
670.82,0.019187913
671.78,0.0193117
672.74,0.019414819
673.71,0.019490439
674.67,0.019551864
675.64,0.019613691
676.6,0.019696474
677.57,0.01980093
678.53,0.019915956
679.49,0.019995828
680.46,0.019969633
681.42,0.019939361
682.39,0.019984005
683.35,0.02005338
684.32,0.020051647
685.28,0.019920488
686.24,0.019759988
687.21,0.019710641
688.17,0.019721877
689.14,0.019711746
690.1,0.019650483
691.06,0.019552707
692.03,0.019440243
692.99,0.019279731
693.96,0.019100612
694.92,0.018953298
695.89,0.01886409
696.85,0.01882543
697.81,0.01882686
698.78,0.018828457
699.74,0.018800245
700.71,0.018705745
701.67,0.018547769
702.64,0.018356108
703.6,0.018233817
704.56,0.018304012
705.53,0.018493588
706.49,0.018694634
707.46,0.018859222
708.42,0.019005324
709.39,0.019167067
710.35,0.019351497
711.31,0.019487577
712.28,0.019567914
713.24,0.019651841
714.21,0.019789167
715.17,0.01999081
716.13,0.020181702
717.1,0.020324075
718.06,0.020477947
719.03,0.020636326
719.99,0.020810106
720.96,0.021015228
721.92,0.021285715
722.88,0.021595347
723.85,0.02189469
724.81,0.022144606
725.78,0.022341603
726.74,0.022477068
727.71,0.022586117
728.67,0.022722212
729.63,0.02291296
730.6,0.023139525
731.56,0.023436473
732.53,0.023773611
733.49,0.024072362
734.46,0.024262778
735.42,0.02443377
736.38,0.024660155
737.35,0.024938622
738.31,0.02527267
739.28,0.02565933
740.24,0.026078387
741.2,0.026474942
742.17,0.026805651
743.13,0.027081348
744.1,0.027314447
745.06,0.027539822
746.03,0.027794118
746.99,0.028108668
747.95,0.028452084
748.92,0.028740825
749.88,0.028985702
750.85,0.029215631
751.81,0.02940941
752.78,0.02953556
753.74,0.029657438
754.7,0.029876777
755.67,0.030072768
756.63,0.030203836
757.6,0.03029492
758.56,0.03036943
759.53,0.030415888
760.49,0.030363816
761.45,0.030274586
762.42,0.030189448
763.38,0.030091156
764.35,0.029959913
765.31,0.029761768
766.28,0.029468337
767.24,0.029094893
768.2,0.028691156
769.17,0.028249073
770.13,0.027759394
771.1,0.027226813
772.06,0.026654566
773.02,0.026055366
773.99,0.025454503
774.95,0.024830374
775.92,0.024162567
776.88,0.023450256
777.85,0.022685436
778.81,0.021854653
779.77,0.020915721
780.74,0.019969795
781.7,0.019079844
