RamanShift,CaZn3
49.85,-0.000250548
50.81,-0.000222738
51.78,-0.000199801
52.74,-0.000181427
53.71,-0.000158263
54.67,-0.000120144
55.64,-5.32E-05
56.6,1.35E-05
57.56,8.07E-05
58.53,0.000144191
59.49,0.000198342
60.46,0.000231856
61.42,0.000253616
62.38,0.000255408
63.35,0.000240007
64.31,0.000224498
65.28,0.000234374
66.24,0.000258566
67.21,0.000296493
68.17,0.000347369
69.13,0.000411556
70.1,0.000477805
71.06,0.000543864
72.03,0.000603608
72.99,0.000648639
73.96,0.000674184
74.92,0.0006981
75.88,0.000711867
76.85,0.000716986
77.81,0.00072636
78.78,0.000745568
79.74,0.000768962
80.71,0.000799917
81.67,0.00083878
82.63,0.0008761
83.6,0.000900317
84.56,0.000914179
85.53,0.00091875
86.49,0.000914813
87.45,0.000918548
88.42,0.000950832
89.38,0.001003776
90.35,0.001066933
91.31,0.001121833
92.28,0.001170498
93.24,0.001200376
94.2,0.001205845
95.17,0.00119091
96.13,0.001180947
97.1,0.001169202
98.06,0.001159092
99.03,0.00114841
99.99,0.001134268
100.95,0.001129839
101.92,0.001157218
102.88,0.001198336
103.85,0.001245044
104.81,0.001290249
105.78,0.001330957
106.74,0.0013617
107.7,0.001380788
108.67,0.001384591
109.63,0.001365478
110.6,0.001313332
111.56,0.001277898
112.52,0.001269171
113.49,0.001286863
114.45,0.001307776
115.42,0.001333373
116.38,0.001351889
117.35,0.001362239
118.31,0.001365554
119.27,0.001363196
120.24,0.001361001
121.2,0.001368025
122.17,0.001387591
123.13,0.001417527
124.1,0.001436155
125.06,0.001431574
126.02,0.001409428
126.99,0.001378376
127.95,0.001351355
128.92,0.001336129
129.88,0.001325545
130.85,0.001317332
131.81,0.00130923
132.77,0.001302901
133.74,0.0013039
134.7,0.001308593
135.67,0.001317769
136.63,0.001329735
137.59,0.001334544
138.56,0.001336176
139.52,0.001335455
140.49,0.001331033
141.45,0.001321161
142.42,0.001304665
143.38,0.00127203
144.34,0.00122759
145.31,0.001180635
146.27,0.001146996
147.24,0.001143793
148.2,0.001150002
149.17,0.001159444
150.13,0.001169806
151.09,0.001182347
152.06,0.001206093
153.02,0.001216979
153.99,0.001212601
154.95,0.001195611
155.92,0.001176631
156.88,0.001149918
157.84,0.001120483
158.81,0.001091533
159.77,0.001065674
160.74,0.001049302
161.7,0.001047
162.66,0.001046534
163.63,0.00104058
164.59,0.001024556
165.56,0.001007294
166.52,0.000999722
167.49,0.001001036
168.45,0.001009551
169.41,0.001024257
170.38,0.00103874
171.34,0.001033901
172.31,0.001016199
173.27,0.00099333
174.24,0.000974145
175.2,0.000958572
176.16,0.000948705
177.13,0.000938612
178.09,0.000924278
179.06,0.000903831
180.02,0.000888183
180.99,0.000885033
181.95,0.000892575
182.91,0.000905148
183.88,0.000912341
184.84,0.000898537
185.81,0.000882399
186.77,0.000875661
187.74,0.000884487
188.7,0.000904377
189.66,0.000907979
190.63,0.000896579
191.59,0.000875061
192.56,0.000852069
193.52,0.000840083
194.48,0.000845013
195.45,0.000846077
196.41,0.000834594
197.38,0.000810393
198.34,0.000789089
199.31,0.000789952
200.27,0.00080524
201.23,0.000828904
202.2,0.000854696
203.16,0.000881327
204.13,0.000907158
205.09,0.000924756
206.06,0.000929798
207.02,0.000923081
207.98,0.00092113
208.95,0.000929105
209.91,0.000939564
210.88,0.000948889
211.84,0.000956926
212.81,0.00096635
213.77,0.000980927
214.73,0.000997595
215.7,0.00101514
216.66,0.001032777
217.63,0.001049994
218.59,0.001062591
219.55,0.001071228
220.52,0.00107589
221.48,0.001079084
222.45,0.001082309
223.41,0.001086805
224.38,0.001086455
225.34,0.0010796
226.3,0.001071154
227.27,0.001078992
228.23,0.001094695
229.2,0.001114941
230.16,0.001141849
231.13,0.001175716
232.09,0.001203218
233.05,0.00121837
234.02,0.001228485
234.98,0.001232535
235.95,0.001222992
236.91,0.001197909
237.88,0.001186307
238.84,0.001202203
239.8,0.001242319
240.77,0.001296238
241.73,0.001330987
242.7,0.001350335
243.66,0.001376129
244.62,0.00141418
245.59,0.00146077
246.55,0.001485832
247.52,0.001503846
248.48,0.001516964
249.45,0.001523622
250.41,0.00152352
251.37,0.001535044
252.34,0.001564376
253.3,0.001603196
254.27,0.001645878
255.23,0.001688023
256.2,0.001710831
257.16,0.001702492
258.12,0.001681752
259.09,0.001671297
260.05,0.00169229
261.02,0.00175612
261.98,0.001819584
262.95,0.001858657
263.91,0.00187088
264.87,0.001862269
265.84,0.001838968
266.8,0.001823445
267.77,0.001820694
268.73,0.001826049
269.69,0.00183325
270.66,0.001838649
271.62,0.001856179
272.59,0.001878661
273.55,0.001897366
274.52,0.001905733
275.48,0.001904352
276.44,0.001879594
277.41,0.001838021
