RamanShift,AlMW25
99.1,0.000959086
100.07,0.000952257
101.03,0.000963718
102,0.000990833
102.96,0.001018538
103.93,0.0010475
104.89,0.001084186
105.85,0.001110801
106.82,0.001138637
107.78,0.001164927
108.75,0.001180593
109.71,0.001163007
110.68,0.001134065
111.64,0.001110816
112.6,0.001094114
113.57,0.001085711
114.53,0.001094322
115.5,0.001117415
116.46,0.00113821
117.43,0.001153553
118.39,0.001162273
119.35,0.001171238
120.32,0.001187126
121.28,0.001204498
122.25,0.001217293
123.21,0.001217784
124.17,0.001213549
125.14,0.001212153
126.1,0.001207831
127.07,0.001196493
128.03,0.001176001
129,0.001163002
129.96,0.001159303
130.92,0.001161797
131.89,0.00116696
132.85,0.00116758
133.82,0.001160715
134.78,0.001154659
135.75,0.001152429
136.71,0.001155112
137.67,0.001157572
138.64,0.001164991
139.6,0.001177259
140.57,0.001190976
141.53,0.001201463
142.5,0.001198605
143.46,0.001172561
144.42,0.001137542
145.39,0.001101048
146.35,0.001068318
147.32,0.001041722
148.28,0.00102718
149.25,0.001027649
150.21,0.001043116
151.17,0.001068644
152.14,0.001081943
153.1,0.001077285
154.07,0.001057953
155.03,0.001027518
155.99,0.000991617
156.96,0.000960794
157.92,0.000941628
158.89,0.000932162
159.85,0.000927693
160.82,0.000917873
161.78,0.000896781
162.74,0.000874111
163.71,0.000855608
164.67,0.000843933
165.64,0.000834698
166.6,0.000828847
167.57,0.000828743
168.53,0.000835097
169.49,0.000846757
170.46,0.000861816
171.42,0.000873698
172.39,0.000875903
173.35,0.000864688
174.32,0.000837236
175.28,0.000798568
176.24,0.000765511
177.21,0.000742116
178.17,0.000727752
179.14,0.00071776
180.1,0.000701933
181.06,0.000687704
182.03,0.000678383
182.99,0.00067318
183.96,0.000667854
184.92,0.00065573
185.89,0.000639648
186.85,0.000622737
187.81,0.000607559
188.78,0.000595067
189.74,0.000572407
190.71,0.00054934
191.67,0.000537079
192.64,0.000540819
193.6,0.000552914
194.56,0.000548205
195.53,0.000538012
196.49,0.000532532
197.46,0.000536528
198.42,0.000540494
199.39,0.000537545
200.35,0.000536785
201.31,0.000536903
202.28,0.000534155
203.24,0.000525044
204.21,0.000518673
205.17,0.000513571
206.13,0.000504417
207.1,0.000487218
208.06,0.000466691
209.03,0.000460364
209.99,0.000466986
210.96,0.000482337
211.92,0.000497324
212.88,0.000504748
213.85,0.000513308
214.81,0.000522958
215.78,0.000531152
216.74,0.000537261
217.71,0.00055735
218.67,0.000591641
219.63,0.000617152
220.6,0.000629353
221.56,0.000631175
222.53,0.000642432
223.49,0.000647615
224.46,0.000643871
225.42,0.000632625
226.38,0.000617194
227.35,0.000603832
228.31,0.00060347
229.28,0.000619945
230.24,0.000653516
231.2,0.000698665
232.17,0.000740853
233.13,0.000762025
234.1,0.000757644
235.06,0.000737384
236.03,0.000717462
236.99,0.000721062
