Wavenumber,t0,60s,120s,180s,5m,8m,19m,15m,20m,25m,30m,40m,50m,60m,90m,2h
3673.248,0.049782022,0.049647091,0.047844738,0.046416102,0.043409614,0.037378276,0.035856633,0.032353999,0.030898736,0.021934546,0.021971568,0.015170361,0.014107673,0.015423571,0.01891,0.020438828
3673.73,0.049498863,0.049352962,0.047472754,0.046072749,0.04297028,0.03668935,0.035184905,0.03156509,0.030028276,0.020577232,0.020775012,0.013883741,0.012777088,0.013880593,0.016792631,0.017993594
3674.212,0.049254309,0.049082751,0.047077647,0.045688318,0.042449448,0.03594735,0.034396362,0.030560641,0.028887778,0.01892919,0.019236836,0.012234927,0.011070609,0.01195213,0.014340858,0.015345291
3674.694,0.049078216,0.048882325,0.04673433,0.045339021,0.041958052,0.035347615,0.033683344,0.029560314,0.027722354,0.017369369,0.017706707,0.010613921,0.009407834,0.010110096,0.012146012,0.013139885
3675.176,0.049045667,0.048848573,0.046570247,0.045143308,0.041652121,0.035181586,0.033322601,0.02887075,0.026870303,0.016487374,0.016688905,0.00959439,0.008383334,0.009045784,0.011139922,0.012386896
3675.658,0.049177865,0.049016289,0.046653925,0.04516908,0.041625357,0.035579909,0.033472292,0.028704151,0.026588941,0.016646783,0.016535331,0.009565734,0.008398265,0.009203763,0.011847078,0.01357613
3676.141,0.049368507,0.049281814,0.046896142,0.045353012,0.041823759,0.036323741,0.034005305,0.029025297,0.026886644,0.01760895,0.017168576,0.010401847,0.009331845,0.010378453,0.013772314,0.015992909
3676.623,0.04946297,0.049477083,0.04712136,0.045550566,0.042089203,0.037007223,0.034607675,0.029589429,0.027538003,0.018732551,0.018165091,0.011583979,0.010659068,0.011892752,0.015779125,0.018252311
3677.105,0.049386252,0.049509109,0.04720773,0.045650868,0.042280429,0.037359799,0.035028054,0.030132846,0.028254053,0.019499169,0.019088454,0.012618886,0.011860614,0.013136132,0.017018331,0.019417023
3677.587,0.049177598,0.049402299,0.047147968,0.045630145,0.042344433,0.037375345,0.035199592,0.030503978,0.02882743,0.019778784,0.019714586,0.013291801,0.012685673,0.013879066,0.017370787,0.019481265
3678.069,0.048937753,0.049248408,0.047012235,0.045529001,0.042302427,0.037218423,0.035195934,0.030675586,0.029174001,0.019736465,0.020028326,0.013636471,0.01313899,0.014210447,0.017231005,0.019048662
