Wavenumber,t0,60s,180s,5m,8m,10m,20m,30m,60m,90m
670.1422,0.912949699,0.858845822,0.76704756,0.73619315,0.695010446,0.682926564,0.640227397,0.607321135,0.522412494,0.487103399
670.6243,0.911336363,0.857246992,0.765530361,0.734633468,0.6934603,0.681357529,0.638661996,0.605790529,0.520879537,0.485556493
671.1064,0.909958046,0.855886921,0.764194776,0.73323829,0.692070828,0.679970464,0.637248371,0.604339871,0.519421622,0.484064706
671.5886,0.908744304,0.854694307,0.762972767,0.731958213,0.690800751,0.67872079,0.635959326,0.602966033,0.518040795,0.482639064
672.0707,0.907523393,0.853500805,0.761712453,0.730660547,0.689519798,0.677480373,0.634688179,0.601609168,0.51667653,0.481235863
672.5528,0.906102062,0.852118545,0.760251238,0.729200189,0.688079899,0.676103052,0.633306396,0.600182628,0.515247856,0.479793094
673.0349,0.904378074,0.850445454,0.758508495,0.7275073,0.68640665,0.67451185,0.631740995,0.598632147,0.513710809,0.478278669
673.517,0.902396315,0.848520585,0.756529493,0.725630768,0.684538614,0.67273892,0.630015451,0.596972019,0.512086041,0.476710699
673.9991,0.900326969,0.846500449,0.754469328,0.723712333,0.68261224,0.670908745,0.628233427,0.59527951,0.510447165,0.475149224
674.4813,0.898366716,0.844566113,0.75250613,0.721908224,0.680783259,0.669165048,0.626518111,0.593652879,0.50887638,0.473658422
674.9634,0.896628079,0.842824086,0.750749994,0.72030095,0.679142146,0.667589923,0.624940623,0.592153984,0.507414785,0.472266836
675.4455,0.895079264,0.841247445,0.749190472,0.718857921,0.677671842,0.666164369,0.623483999,0.590770544,0.506042954,0.47095045
675.9276,0.89357284,0.839702461,0.747717472,0.717456535,0.676265809,0.664787536,0.622064097,0.589430873,0.504692185,0.46964745
676.4097,0.891932387,0.838030849,0.746190897,0.715954016,0.674793776,0.663340301,0.620580976,0.588040734,0.50328907,0.468293463
676.8918,0.890059097,0.836147105,0.744527443,0.714273284,0.673178617,0.661755676,0.618985359,0.586542063,0.50179987,0.466858175
677.374,0.887995362,0.834093537,0.742747199,0.712445637,0.671439615,0.660062648,0.61731095,0.584948706,0.500253009,0.465366585
677.8561,0.8858936,0.832016004,0.740956508,0.710590056,0.66967713,0.658363286,0.615655367,0.583336143,0.498722709,0.463882279
678.3382,0.88393023,0.830080781,0.739282071,0.708843367,0.668010556,0.656772084,0.614123668,0.581799285,0.49729015,0.462472976
678.8203,0.882205308,0.828383133,0.737792194,0.707283944,0.666508612,0.655349453,0.612770009,0.58039731,0.495997656,0.461175882
679.3024,0.880687039,0.826898209,0.736456074,0.70589187,0.665154242,0.654066649,0.611564871,0.579123294,0.494830506,0.459978988
679.7845,0.879231421,0.825496126,0.73515799,0.70456239,0.663854996,0.652821848,0.610411564,0.577905777,0.49372245,0.458831111
680.2667,0.877671386,0.824021557,0.733767224,0.703174454,0.662503098,0.651499581,0.60920201,0.57665521,0.492599263,0.457673983
680.7488,0.875906878,0.822383377,0.732208774,0.701658226,0.66104021,0.650038461,0.60787415,0.575311966,0.491416573,0.456477876
681.2309,0.873969067,0.820600817,0.730511301,0.700036985,0.659489569,0.64846431,0.606445185,0.57388163,0.490183173,0.455255981
681.713,0.8719951,0.818788967,0.728784094,0.698408243,0.6579414,0.646872377,0.604995997,0.572428515,0.488947933,0.454056135
682.1951,0.870147058,0.817081556,0.727154659,0.696882186,0.656496558,0.645369845,0.603620722,0.571036589,0.487768106,0.452928928
682.6772,0.868522501,0.815554915,0.725696123,0.695515201,0.655204481,0.644016397,0.602370261,0.569761903,0.486670887,0.451897985
683.1594,0.867100547,0.814178572,0.72438786,0.694276767,0.654034517,0.642788891,0.60122509,0.568601332,0.485635624,0.450943226
683.6415,0.865761815,0.812840691,0.723132635,0.693069113,0.652895205,0.641602553,0.600110831,0.567499269,0.484609972,0.45001524
684.1236,0.864357627,0.811409022,0.721813122,0.691781276,0.651683465,0.640360918,0.598941487,0.566380905,0.483538926,0.44905989
684.6057,0.862799461,0.809817292,0.720365569,0.690362302,0.650351095,0.639017458,0.597676383,0.565200235,0.482405311,0.448053554
685.0878,0.861107579,0.808101005,0.718815154,0.688847109,0.648930478,0.637604084,0.596344804,0.563966193,0.481243477,0.44701454
685.5699,0.85939263,0.806382055,0.717259383,0.687342003,0.647517523,0.63621434,0.595030192,0.562739743,0.480123971,0.445996196
686.0521,0.857784594,0.80479003,0.715810758,0.685961827,0.646215064,0.634946152,0.593823195,0.561595921,0.47911897,0.445054429
686.5342,0.856352665,0.803394455,0.714530086,0.684764519,0.645074763,0.63384946,0.592769368,0.560580728,0.478261602,0.444219557
687.0163,0.855063181,0.802160125,0.713392186,0.683721627,0.644068194,0.63289162,0.591845235,0.559683669,0.477531213,0.443478978
687.4984,0.853798944,0.800968695,0.712300896,0.682730725,0.643103153,0.631979821,0.59096875,0.558842886,0.476861145,0.44278663
687.9805,0.852429666,0.799685843,0.711145586,0.681674901,0.642077055,0.631009802,0.590050195,0.557979324,0.47617615,0.442089361
688.4626,0.850891761,0.798239973,0.709867324,0.680487163,0.64093799,0.629926264,0.589039135,0.557040952,0.475428994,0.441357051
688.9448,0.849226684,0.796661853,0.708489952,0.679183807,0.639711419,0.628749427,0.587951605,0.556030002,0.474623359,0.440596984
689.4269,0.847560048,0.795066869,0.707108026,0.677850447,0.63848559,0.627560409,0.586857568,0.55499873,0.473804023,0.439846169
689.909,0.846028377,0.793585495,0.705828693,0.676590804,0.63736012,0.62645105,0.585837907,0.554017705,0.473028649,0.439148506
690.3911,0.844694944,0.792287851,0.70470633,0.675461522,0.63638445,0.625467388,0.584932601,0.553132035,0.472329954,0.438524468
690.8732,0.843516423,0.7911479,0.703712275,0.674446306,0.635533612,0.624583116,0.584120498,0.552335245,0.471700168,0.437961061
691.3553,0.842362838,0.790057358,0.702750901,0.673467302,0.634719359,0.623717358,0.583330709,0.551577088,0.471095123,0.437419309
691.8375,0.841090809,0.788890484,0.701712648,0.672436049,0.63384133,0.622781686,0.582487461,0.550789901,0.470465337,0.436856887
692.3196,0.839622724,0.787575088,0.700538051,0.671308837,0.632843659,0.621734201,0.581551242,0.549932369,0.469785454,0.436256275
692.8017,0.83799131,0.786133655,0.699250146,0.670113339,0.631744392,0.62060584,0.580547851,0.549010075,0.469072854,0.435634599
693.2838,0.836318129,0.784665004,0.697940812,0.66893362,0.630621889,0.619482108,0.579549574,0.548076393,0.468376613,0.435036349
693.7659,0.83474469,0.783284222,0.696716928,0.66785969,0.629569836,0.618456791,0.578634506,0.547197199,0.467752143,0.434506802
694.248,0.833352035,0.782055809,0.695643049,0.666931899,0.628642122,0.617577147,0.577841927,0.546416488,0.467227662,0.434067022
694.7302,0.832120215,0.780957279,0.694704711,0.666118174,0.627825643,0.616821253,0.577150455,0.545730239,0.466790083,0.433701458
695.2123,0.830941694,0.77989514,0.693821285,0.665327987,0.627051188,0.616110181,0.576489895,0.545091779,0.466390332,0.433366012
695.6944,0.82968712,0.778760811,0.692896876,0.664463049,0.626234463,0.615354774,0.57578285,0.544439921,0.465971974,0.433012456
696.1765,0.828279815,0.777498965,0.691871749,0.663476027,0.625329242,0.614507042,0.574987947,0.543734467,0.465500248,0.432615001
696.6586,0.826737858,0.776138599,0.690758761,0.662389164,0.624348875,0.613584038,0.574122851,0.54297899,0.464978016,0.432180142
697.1407,0.825162237,0.77477764,0.689627827,0.661285489,0.623356643,0.612653725,0.573249387,0.542216144,0.464436563,0.431740166
697.6229,0.823672333,0.773522304,0.688560912,0.66025165,0.622423984,0.611786992,0.572433333,0.541498184,0.463913104,0.43132834
698.105,0.822339835,0.772423478,0.687600073,0.659329032,0.621583281,0.611014776,0.57170444,0.540853249,0.463422157,0.430956082
698.5871,0.821145107,0.771445363,0.686719862,0.658489184,0.620808579,0.610301999,0.571033189,0.540264589,0.462944501,0.430601345
699.0692,0.819993392,0.770482633,0.685839116,0.657645714,0.620025966,0.609566324,0.570348921,0.539674589,0.462434128,0.430218654
699.5513,0.818771858,0.769416943,0.684871044,0.65670887,0.619159555,0.608724682,0.569577726,0.539017818,0.461849122,0.429763519
700.0334,0.817415671,0.7681835,0.683773593,0.655635716,0.618175975,0.607741995,0.56868683,0.538253632,0.461175782,0.42921783
700.5156,0.81594291,0.766805086,0.682573816,0.654456255,0.617103405,0.606651149,0.567705288,0.537388954,0.460439668,0.4285995
700.9977,0.81444272,0.765374009,0.681354218,0.653255843,0.616015509,0.605538136,0.566706778,0.536473136,0.459693944,0.42795243
701.4798,0.81301609,0.763997665,0.680201586,0.652125785,0.614989411,0.604491869,0.565771954,0.535568261,0.458990137,0.427322879
701.9619,0.811712579,0.762736116,0.67915744,0.65111057,0.614056752,0.603554735,0.564938933,0.534714079,0.4583489,0.426729747
702.444,0.81049572,0.761565396,0.678189101,0.650182262,0.613184656,0.602699208,0.564184705,0.53390724,0.457747536,0.426157286
702.9261,0.809263588,0.760396747,0.677209779,0.649255247,0.612294514,0.60184295,0.563437449,0.53310375,0.45713104,0.425562579
703.4083,0.807903349,0.759125138,0.676121435,0.648233306,0.611302035,0.600895098,0.562613028,0.532248451,0.456440933,0.424899169
703.8904,0.806357652,0.757695244,0.674875318,0.647067037,0.610169891,0.599808149,0.561661701,0.531305613,0.455646953,0.424145992
704.3725,0.804657353,0.756129846,0.673494463,0.645774544,0.608925769,0.598600619,0.560592069,0.53028171,0.454760344,0.423317025
704.8546,0.802908742,0.754520956,0.67206325,0.644434977,0.607649018,0.597348265,0.559462005,0.529220738,0.453827933,0.42245597
705.3367,0.801230262,0.75297183,0.670680788,0.643138346,0.606427144,0.59613635,0.558343795,0.528179417,0.452903701,0.42161027
705.8188,0.799690798,0.751541936,0.669403866,0.641936123,0.605304146,0.595013348,0.55728253,0.527192139,0.452019751,0.420806107
706.301,0.798272272,0.750213523,0.668223108,0.640816411,0.604263217,0.593965376,0.556275188,0.526254213,0.451173629,0.420037772
706.7831,0.796888968,0.74890789,0.667071012,0.639713771,0.603236625,0.592928853,0.555276678,0.52532656,0.450333436,0.41927239
707.2652,0.795434909,0.747530363,0.665866146,0.63854957,0.602147493,0.591829481,0.554233543,0.524357817,0.44946155,0.418471967
707.7473,0.793853678,0.746033309,0.664562169,0.637286306,0.600957012,0.590630233,0.553117889,0.523320292,0.44854243,0.417618786
708.2294,0.792168652,0.744441283,0.663175957,0.635943893,0.599684958,0.589353519,0.551949243,0.522224259,0.447592843,0.416725644
708.7115,0.790470847,0.742838903,0.66177662,0.634592428,0.598398813,0.588069985,0.550781758,0.521114381,0.446653684,0.415829745
709.1937,0.788865616,0.741319363,0.660441839,0.633307436,0.597173725,0.58685612,0.549673542,0.520045592,0.445767689,0.414971052
709.6758,0.78741031,0.739932073,0.659212597,0.632125906,0.596047761,0.585752607,0.54865179,0.519048711,0.444951011,0.414169645
710.1579,0.786090279,0.738660168,0.658074698,0.631029214,0.595007327,0.58474556,0.547701625,0.518121728,0.444190565,0.413419618
710.64,0.784808588,0.737414891,0.656951263,0.629940024,0.593984195,0.58376336,0.546762152,0.517218416,0.443438297,0.412683371
711.1221,0.7834577,0.73610127,0.655760327,0.628779445,0.592906929,0.58272903,0.545775032,0.51628451,0.442646974,0.411921532
711.6042,0.781970913,0.734666347,0.654455546,0.62750842,0.591738448,0.581599939,0.544708886,0.515285396,0.441792469,0.411112841
712.0864,0.780356954,0.733129647,0.653052994,0.626148936,0.590495809,0.580389972,0.543580914,0.51422353,0.440884595,0.410263991
712.5685,0.778688136,0.731567208,0.651618834,0.624772123,0.589238092,0.579158324,0.542441785,0.51313442,0.439958727,0.409404314
713.0506,0.777055164,0.730064828,0.650230747,0.623457386,0.588030802,0.577973205,0.541343796,0.512064515,0.439054534,0.408566292
713.5327,0.775513207,0.728668958,0.648932932,0.622246111,0.586905085,0.57687091,0.54031019,0.511043293,0.438191644,0.407766066
714.0148,0.774046991,0.727355337,0.647712797,0.621119157,0.585838201,0.575832194,0.539316329,0.510065394,0.4373582,0.4069934
714.4969,0.772587321,0.726046746,0.646510074,0.62001186,0.58476835,0.574796402,0.538307128,0.509094864,0.436520665,0.406219356
714.9791,0.771053157,0.724654722,0.645254314,0.618846625,0.583628791,0.573695082,0.537226804,0.50808704,0.435643667,0.40541165
715.4612,0.769401171,0.723135182,0.64390855,0.617584137,0.582389118,0.572493884,0.536053508,0.507013339,0.434714323,0.404557288
715.9433,0.767655053,0.721508245,0.642487515,0.616238103,0.581070839,0.571211568,0.534812576,0.505879119,0.433749401,0.403667688
716.4254,0.765889922,0.719850242,0.641047998,0.614868273,0.579736491,0.569908546,0.533562812,0.504716314,0.432786523,0.402773365
716.9075,0.764184636,0.718242536,0.639651875,0.613539569,0.5784501,0.568650102,0.532362323,0.503563559,0.431860859,0.401903845
717.3896,0.762573482,0.716723884,0.638325397,0.612280701,0.577240585,0.567467175,0.531235048,0.502440505,0.430981816,0.401067988
