Wavenumber,t0,60s,120s,180s,5m,10m,15m,20m,25m,30m,40m,50m,60m,90m,2h
663.3926,0.511498292,0.481878474,0.472792,0.468070566,0.463822838,0.460848963,0.459547051,0.465954236,0.469918223,0.471844786,0.477529284,0.477321028,0.481653277,0.465920877,0.45601805
663.8747,0.509847949,0.480234185,0.471128324,0.466301452,0.462062451,0.459051136,0.457647683,0.464048988,0.467960373,0.469918237,0.475542402,0.475344358,0.479587572,0.463927096,0.453999222
664.3568,0.50840135,0.478795631,0.469657984,0.464751596,0.460501122,0.457424846,0.455948115,0.462301355,0.466160738,0.468149146,0.473716255,0.473543264,0.477623703,0.462154474,0.452198932
664.8389,0.507082476,0.477487818,0.468312479,0.463357098,0.459074833,0.455906832,0.454395729,0.460660167,0.464473187,0.46648864,0.472005853,0.471872808,0.475723159,0.460557709,0.450577888
665.321,0.505782968,0.476199845,0.466987387,0.462012625,0.457686099,0.454415596,0.452907418,0.459062336,0.462843739,0.464874248,0.470357881,0.470268566,0.473866684,0.459040861,0.449050867
665.8032,0.50437345,0.47480216,0.465555126,0.460585296,0.45621778,0.452860908,0.451378914,0.457440874,0.461214684,0.463239164,0.468711098,0.468647024,0.472055073,0.457465262,0.447489637
666.2853,0.502734232,0.473172751,0.463895964,0.458948284,0.454556631,0.451156805,0.449699346,0.455724491,0.459523797,0.461508895,0.466995939,0.466913337,0.470282171,0.45568532,0.44575092
666.7674,0.500811338,0.471263408,0.461963382,0.457044332,0.452646805,0.449251865,0.447798618,0.45384561,0.457695895,0.459613285,0.465128567,0.464984985,0.468477905,0.453627646,0.443750467
667.2495,0.498676666,0.469153688,0.459840605,0.45494379,0.45054084,0.447163942,0.445695372,0.451766536,0.455660705,0.457515483,0.463038428,0.462834529,0.466479098,0.451376903,0.441540273
667.7316,0.496506561,0.467029881,0.457714687,0.452823315,0.448389732,0.44499025,0.443509604,0.449523597,0.453415086,0.455259433,0.460737609,0.46053713,0.464142623,0.449139612,0.439299977
668.2137,0.494461504,0.465048124,0.455733625,0.450829471,0.446342531,0.442865651,0.44139529,0.447263862,0.451104298,0.452999442,0.458398738,0.458271943,0.461593147,0.447086092,0.437214102
668.6959,0.492585787,0.463238574,0.453910961,0.448984339,0.44445333,0.440888915,0.439449127,0.445177757,0.448967819,0.450929426,0.456278671,0.456226474,0.459222727,0.445232563,0.435345788
669.178,0.490830585,0.461536354,0.452177212,0.447234962,0.442684966,0.439064893,0.437656552,0.443321532,0.447101247,0.449092346,0.454453515,0.454418023,0.45724794,0.443469633,0.433613326
669.6601,0.48914316,0.459883336,0.450482719,0.445542256,0.440983343,0.437340221,0.435944169,0.441601047,0.445405648,0.447375872,0.452773436,0.452708396,0.45552685,0.441685339,0.431885164
670.1422,0.487527221,0.458277139,0.448838671,0.44391736,0.439341262,0.435685405,0.43427897,0.439934468,0.443773845,0.445687382,0.451103068,0.450995587,0.453862533,0.439858515,0.430110871
670.6243,0.486023763,0.456755855,0.447289819,0.442396231,0.437790246,0.434114611,0.432683477,0.438318084,0.442183853,0.444027074,0.449423583,0.449283971,0.452188093,0.438051472,0.428330323
671.1064,0.484651327,0.455339322,0.445860502,0.440990984,0.436350921,0.432637735,0.431179633,0.436772792,0.440648038,0.4424249,0.44777026,0.447613713,0.450517425,0.436333051,0.426603725
671.5886,0.483369329,0.453997386,0.444523044,0.439663904,0.434999741,0.431231685,0.42974899,0.435292343,0.439158746,0.440883227,0.446156774,0.445995552,0.448870181,0.434719471,0.424948083
672.0707,0.482089803,0.452656838,0.443205018,0.438340146,0.433673662,0.429839801,0.428332328,0.433836308,0.437677501,0.43936599,0.444560728,0.444398269,0.447242986,0.433171962,0.42333525
672.5528,0.480725402,0.451247051,0.441834389,0.436948578,0.432306721,0.428405614,0.426868094,0.43235371,0.436159353,0.437825302,0.442944467,0.442779512,0.445613409,0.431636916,0.421723784
673.0349,0.479237807,0.449739853,0.440379752,0.435462624,0.430869341,0.426904482,0.425329882,0.430818184,0.434581139,0.436236135,0.441288766,0.441119594,0.443963386,0.430084263,0.42009629
673.517,0.477661009,0.448169764,0.438868782,0.433917263,0.429382926,0.425361049,0.423743127,0.429245744,0.432961702,0.434614846,0.439611065,0.439441781,0.442298276,0.428528248,0.41847466
673.9991,0.476077413,0.446609991,0.437366252,0.432384213,0.4279041,0.423831586,0.42216977,0.427685609,0.431353455,0.433011293,0.437958535,0.43779956,0.440649444,0.427010609,0.416904244
674.4813,0.474569423,0.445130964,0.435936346,0.43093187,0.42649007,0.422372174,0.420670585,0.426191293,0.429812733,0.431476714,0.436382309,0.436246221,0.43906076,0.425567745,0.415423354
674.9634,0.473174532,0.443760658,0.434602225,0.429585249,0.425162434,0.421004545,0.419272175,0.424790921,0.428370159,0.430036926,0.43490617,0.434804033,0.437562598,0.424206182,0.414039026
675.4455,0.471867813,0.44247209,0.433338569,0.428316989,0.423896482,0.419706384,0.417954928,0.423470236,0.427012973,0.428675768,0.433514857,0.433452119,0.436154758,0.422896447,0.412721158
675.9276,0.470580047,0.44120098,0.432084727,0.427063387,0.422636172,0.418422001,0.416663505,0.422183339,0.425692887,0.427343974,0.432161796,0.432137189,0.434806471,0.421587701,0.411421079
676.4097,0.469240367,0.439884636,0.430782796,0.425762688,0.421325854,0.417097644,0.415342568,0.420878278,0.42435533,0.425990305,0.430796249,0.430804563,0.433472081,0.420240579,0.410097543
676.8918,0.46781787,0.438496871,0.429411185,0.42439203,0.419944125,0.41571061,0.413967847,0.419528687,0.422969485,0.424590719,0.429394234,0.429428986,0.432119228,0.418850135,0.408743709
677.374,0.466338927,0.43706288,0.427996197,0.422976817,0.418515306,0.414284186,0.412557786,0.418146479,0.421544774,0.423161769,0.427971805,0.428025175,0.430745135,0.417451779,0.407389288
677.8561,0.464871109,0.435641388,0.426597107,0.421577823,0.41709719,0.412873479,0.411163648,0.416775599,0.420126737,0.421751344,0.426575934,0.426640651,0.429377792,0.416102877,0.406086472
678.3382,0.463484458,0.4342935,0.425270837,0.420254652,0.415749318,0.411535539,0.409838245,0.415463507,0.418768373,0.420412652,0.425258746,0.425326516,0.428059877,0.414852486,0.404880023
678.8203,0.462210083,0.433042031,0.42403996,0.419030948,0.414500294,0.41029695,0.408607015,0.414234227,0.417502464,0.419172298,0.424046798,0.424106632,0.426821566,0.413716235,0.403783038
679.3024,0.461028824,0.431868729,0.42288524,0.417886192,0.413340388,0.409144129,0.407459472,0.413077797,0.416326459,0.41802161,0.422929784,0.422970261,0.425666827,0.412670979,0.402772842
679.7845,0.459877024,0.430716259,0.421751325,0.416762346,0.412222318,0.40802643,0.406350375,0.411949687,0.415198742,0.416914869,0.421860733,0.421869283,0.424567275,0.411662121,0.401796854
680.2667,0.458691233,0.429531848,0.420588165,0.415603912,0.411098605,0.406890684,0.405235258,0.410804,0.414073578,0.415803989,0.420788114,0.42075538,0.423481817,0.41064179,0.400806401
680.7488,0.457439107,0.428294267,0.419375346,0.414387243,0.409944342,0.405709145,0.404093346,0.409617101,0.412920343,0.414660396,0.419680812,0.419602704,0.422381272,0.409587434,0.399777049
681.2309,0.45614001,0.42702891,0.418137599,0.413135985,0.408771789,0.404495781,0.40293959,0.408403055,0.411744534,0.413494731,0.418545366,0.418423383,0.421264449,0.408515078,0.398721113
681.713,0.454850184,0.425791924,0.416928116,0.411906613,0.407619083,0.403295807,0.401813988,0.407204048,0.410581876,0.412344043,0.417419632,0.417259174,0.420158147,0.407464085,0.397675147
682.1951,0.453630195,0.424639256,0.415799501,0.410756582,0.406526697,0.402161032,0.40075518,0.406068126,0.409476734,0.411252871,0.416349193,0.416159986,0.419103657,0.40647402,0.396679416
682.6772,0.452509915,0.423595307,0.414772363,0.409713834,0.405510199,0.401119981,0.399777148,0.405022046,0.408457568,0.410244664,0.415361798,0.415154451,0.418129762,0.405560706,0.39575425
683.1594,0.451474305,0.422641628,0.413827075,0.408763519,0.404551686,0.40016722,0.398860278,0.404058387,0.407519866,0.409309964,0.414451301,0.414237798,0.417238249,0.404708518,0.394890658
683.6415,0.45047351,0.421727032,0.412913976,0.407856587,0.403609908,0.399265881,0.397958554,0.403139259,0.406629274,0.408413102,0.413582226,0.413377019,0.416399937,0.403879672,0.394057559
