Wavenumber,t0,60s,120s,180s,5m,8m,19m,15m,20m,25m,30m,40m,50m,60m,90m,2h
3956.733,0.041860773,0.044794622,0.043573539,0.042593902,0.040026353,0.035318781,0.03355779,0.03037665,0.029895097,0.023764397,0.022108608,0.019662612,0.019117048,0.021094185,0.026227617,0.02893683
3957.215,0.041845525,0.04479244,0.043547717,0.042581158,0.040033864,0.035317199,0.033567612,0.030395451,0.029952138,0.023783725,0.022125995,0.019691028,0.019147688,0.021129638,0.026258008,0.028970159
3957.697,0.041828254,0.044774291,0.043514107,0.042557454,0.040031935,0.035302345,0.033569801,0.030392124,0.029988098,0.02379052,0.022128893,0.019706831,0.019155396,0.021149963,0.026278598,0.029002742
3958.179,0.04180761,0.04474488,0.043481164,0.042535737,0.040039649,0.035291625,0.033588886,0.030409262,0.030052876,0.023831795,0.022178454,0.019777774,0.01921877,0.021229393,0.026342121,0.02907041
3958.661,0.041782782,0.04471077,0.043458006,0.042528091,0.040074716,0.03530015,0.033647109,0.03048144,0.030187938,0.023942129,0.022324092,0.019956436,0.019400089,0.021424268,0.026487555,0.029197579
3959.143,0.041754311,0.04467716,0.043451704,0.042541957,0.040145054,0.035336953,0.033752358,0.030625343,0.030411833,0.024134107,0.022583741,0.02026007,0.019724713,0.021757255,0.026727352,0.029389342
3959.625,0.04172503,0.044651283,0.043464615,0.042577539,0.040248225,0.035401627,0.033899748,0.030833158,0.030712312,0.024395043,0.022940715,0.020667509,0.020172564,0.022206108,0.027046542,0.029633493
3960.107,0.04170061,0.044638009,0.043497046,0.04263239,0.040371595,0.035489321,0.034070651,0.03107555,0.031049991,0.024691919,0.023346152,0.021122791,0.020681553,0.022711255,0.02740345,0.029901224
3960.59,0.041687656,0.044645236,0.043545719,0.042697743,0.040495269,0.035586817,0.034237533,0.031309172,0.031366788,0.024976614,0.023730754,0.02154782,0.021161614,0.023186008,0.027741881,0.03015464
3961.072,0.041692516,0.04467229,0.043602332,0.042762892,0.040595447,0.035676757,0.03436767,0.031484124,0.031598372,0.025197181,0.024017832,0.021858655,0.02151645,0.023537588,0.02800047,0.030351673
3961.554,0.041718287,0.044717662,0.04365997,0.042814633,0.040651676,0.03574138,0.034434291,0.031558873,0.031690281,0.025307012,0.024142686,0.021986671,0.021663989,0.023687643,0.028126887,0.030456271
3962.036,0.041764567,0.044772779,0.043705978,0.042843232,0.040650559,0.035765881,0.034418106,0.031506655,0.031609284,0.025276761,0.024065545,0.021889632,0.021557225,0.023589854,0.028089484,0.030445249
