RamanShift,NBS1
49.85,-0.000163984
50.81,-0.000153783
51.78,-0.000144066
52.74,-0.000134812
53.71,-0.000123532
54.67,-0.000106862
55.64,-7.83709E-05
56.6,-5.18348E-05
57.56,-2.84547E-05
58.53,-9.33186E-06
59.49,4.48161E-06
60.46,4.21669E-06
61.42,1.48964E-06
62.38,-4.57719E-06
63.35,-1.26631E-05
64.31,-1.82093E-05
65.28,-1.06176E-05
66.24,2.71132E-06
67.21,1.9432E-05
68.17,3.7892E-05
69.13,5.88729E-05
70.1,8.16379E-05
71.06,0.000104714
72.03,0.000124301
72.99,0.000135496
73.96,0.000134451
74.92,0.000136273
75.88,0.000137936
76.85,0.000139122
77.81,0.000142425
78.78,0.000150331
79.74,0.000159804
80.71,0.000172824
81.67,0.000189575
82.63,0.000204203
83.6,0.000206675
84.56,0.00020334
85.53,0.000199041
86.49,0.000198704
87.45,0.000208335
88.42,0.000228641
89.38,0.00025562
90.35,0.000283913
91.31,0.000304944
92.28,0.000317126
93.24,0.000321731
94.2,0.000316909
95.17,0.000304828
96.13,0.000297242
97.1,0.000289535
98.06,0.000285111
99.03,0.00028515
99.99,0.000289724
100.95,0.00029641
101.92,0.000309906
102.88,0.000326985
103.85,0.000347047
104.81,0.000370104
105.78,0.000391937
106.74,0.000401925
107.7,0.000401342
108.67,0.000393559
109.63,0.000386349
110.6,0.00037939
111.56,0.000379168
112.52,0.000389624
113.49,0.000410456
114.45,0.000428129
115.42,0.000437571
116.38,0.000442758
117.35,0.000445458
118.31,0.000447273
119.27,0.000448145
120.24,0.000453048
121.2,0.000464341
122.17,0.000481447
123.13,0.000501192
124.1,0.000513053
125.06,0.000513897
126.02,0.000506861
126.99,0.000496517
127.95,0.000489709
128.92,0.000491677
129.88,0.00049545
130.85,0.000498588
131.81,0.000500486
132.77,0.000503995
133.74,0.000512911
134.7,0.000523709
135.67,0.000536472
136.63,0.0005503
137.59,0.000557951
138.56,0.000560728
139.52,0.000561022
140.49,0.000557639
141.45,0.000549051
142.42,0.000539815
143.38,0.00053185
144.34,0.000523189
145.31,0.000514273
146.27,0.000507117
147.24,0.000511111
148.2,0.000518036
149.17,0.000523547
150.13,0.000527334
151.09,0.000534349
152.06,0.000552193
153.02,0.000561586
153.99,0.000560329
154.95,0.00055002
155.92,0.000539894
156.88,0.000528938
157.84,0.000517352
158.81,0.000506714
159.77,0.000498198
160.74,0.000493081
161.7,0.000487405
162.66,0.000479445
163.63,0.000470321
164.59,0.000462194
165.56,0.000459818
166.52,0.00046244
167.49,0.000469292
168.45,0.000478367
169.41,0.000485654
170.38,0.000480581
171.34,0.000469167
172.31,0.000459453
173.27,0.000451935
174.24,0.000444792
175.2,0.000431961
