RamanShift,NBS3
49.85,-0.000158567
50.81,-0.000143333
51.78,-0.000131472
52.74,-0.000122534
53.71,-0.000112664
54.67,-9.75901E-05
55.64,-7.19589E-05
56.6,-4.57451E-05
57.56,-1.90687E-05
58.53,5.99748E-06
59.49,2.67096E-05
60.46,3.72071E-05
61.42,4.24808E-05
62.38,3.96626E-05
63.35,2.96963E-05
64.31,1.87826E-05
65.28,1.58058E-05
66.24,1.79485E-05
67.21,2.59944E-05
68.17,4.053E-05
69.13,6.21124E-05
70.1,8.49928E-05
71.06,0.000107917
72.03,0.00012873
72.99,0.000144814
73.96,0.000156581
74.92,0.00016721
75.88,0.00017247
76.85,0.000172607
77.81,0.000173424
78.78,0.000175518
79.74,0.000179501
80.71,0.000187827
81.67,0.000201098
82.63,0.000213929
83.6,0.000219378
84.56,0.00021959
85.53,0.000216135
86.49,0.000210743
87.45,0.000210943
88.42,0.000223258
89.38,0.000243984
90.35,0.000268891
91.31,0.000291481
92.28,0.0003136
93.24,0.000326896
94.2,0.000328805
95.17,0.00032129
96.13,0.000317064
97.1,0.000312939
98.06,0.000309444
99.03,0.000305465
99.99,0.000299709
100.95,0.000296111
101.92,0.000302497
102.88,0.000314571
103.85,0.000330991
104.81,0.000351146
105.78,0.000372738
106.74,0.000389572
107.7,0.00040094
108.67,0.000405498
109.63,0.00040141
110.6,0.000384591
111.56,0.00037397
112.52,0.00037312
113.49,0.000381913
114.45,0.000392423
115.42,0.000403501
116.38,0.000411476
117.35,0.000416411
118.31,0.000419099
119.27,0.000420393
120.24,0.000424521
121.2,0.000434865
122.17,0.000451623
123.13,0.000472494
124.1,0.000486061
125.06,0.000487057
126.02,0.000478942
126.99,0.000466564
127.95,0.000457669
128.92,0.000457006
129.88,0.000457374
130.85,0.000456012
131.81,0.000452634
132.77,0.000450653
133.74,0.000453435
134.7,0.000458748
135.67,0.000466798
136.63,0.000476787
137.59,0.000482122
138.56,0.000484065
139.52,0.000484717
140.49,0.000484498
141.45,0.000482791
142.42,0.000479776
143.38,0.00047188
144.34,0.000458996
145.31,0.000443384
146.27,0.000429291
147.24,0.000425832
148.2,0.000428243
149.17,0.000433017
150.13,0.000438426
151.09,0.000444801
152.06,0.000455059
153.02,0.000459665
153.99,0.000458387
154.95,0.00045234
155.92,0.000445557
156.88,0.00043494
157.84,0.000422434
158.81,0.000409485
159.77,0.000397624
160.74,0.000389941
161.7,0.0003871
162.66,0.000383376
163.63,0.000375565
164.59,0.000362399
165.56,0.00034894
166.52,0.000343642
167.49,0.000345858
168.45,0.000352695
169.41,0.000359772
170.38,0.000359583
171.34,0.000350372
172.31,0.000336619
173.27,0.000322362
174.24,0.000311894
175.2,0.000308203
176.16,0.000306306
177.13,0.000301555
178.09,0.000291006
179.06,0.000275079
180.02,0.000262043
180.99,0.00025546
181.95,0.000252184
182.91,0.000248448
183.88,0.000239416
184.84,0.00022305
185.81,0.000208843
186.77,0.000200653
187.74,0.000199626
188.7,0.000201847
189.66,0.000195662
190.63,0.000180667
191.59,0.000160414
192.56,0.000139608
193.52,0.000126534
194.48,0.000124659
195.45,0.000121299
196.41,0.000111856
197.38,9.49298E-05
198.34,7.94072E-05
199.31,7.53079E-05
200.27,7.79893E-05
201.23,8.39413E-05
202.2,8.88878E-05
203.16,8.88644E-05
204.13,8.50743E-05
205.09,8.23324E-05
206.06,8.26761E-05
207.02,8.57315E-05
207.98,8.56374E-05
208.95,8.20894E-05
209.91,7.9177E-05
210.88,7.69076E-05
211.84,7.57742E-05
212.81,7.41394E-05
213.77,7.31924E-05
214.73,7.22249E-05
215.7,7.17141E-05
216.66,7.16814E-05
217.63,7.13911E-05
218.59,6.54225E-05
219.55,5.63829E-05
220.52,4.74529E-05
221.48,4.31869E-05
222.45,4.3923E-05
223.41,4.28856E-05
224.38,3.66776E-05
225.34,2.54693E-05
226.3,1.09767E-05
227.27,4.74297E-07
228.23,-2.49549E-06
229.2,2.73083E-06
230.16,1.41994E-05
231.13,2.82365E-05
232.09,3.24262E-05
233.05,2.98391E-05
234.02,2.52804E-05
234.98,1.87329E-05
235.95,6.79391E-06
236.91,-7.81248E-06
237.88,-1.38721E-05
238.84,-1.23271E-05
239.8,-4.47373E-06
240.77,6.63114E-06
241.73,2.252E-05
242.7,4.38396E-05
243.66,6.63137E-05
244.62,8.58197E-05
245.59,9.87302E-05
246.55,0.000102248
247.52,0.000103092
248.48,0.000103946
249.45,0.000105101
250.41,0.000106882
251.37,0.00011514
252.34,0.000132152
253.3,0.00015248
254.27,0.000172097
255.23,0.000186583
256.2,0.000191083
257.16,0.000187655
258.12,0.000182573
259.09,0.000181611
260.05,0.000189714
261.02,0.000211601
261.98,0.000240621
262.95,0.000264679
263.91,0.000279038
264.87,0.000280528
265.84,0.00027195
266.8,0.000268322
267.77,0.000271428
268.73,0.000280014
269.69,0.000290396
270.66,0.000299843
271.62,0.000319091
272.59,0.000348653
273.55,0.000379567
274.52,0.000401282
275.48,0.000398743
276.44,0.000376552
277.41,0.000359123
278.37,0.000361662
279.34,0.000391012
280.3,0.000439581
281.27,0.000486089
282.23,0.000532314
283.19,0.000570859
284.16,0.000595297
285.12,0.000602385
286.09,0.000621925
287.05,0.000655586
288.02,0.000697548
288.98,0.000740652
289.94,0.000778409
290.91,0.000802281
291.87,0.000821302
292.84,0.000843228
293.8,0.000874691
294.76,0.000919787
295.73,0.000978748
296.69,0.001035834
297.66,0.001084701
298.62,0.001125149
299.59,0.001163162
300.55,0.001204694
301.51,0.001235599
302.48,0.001270468
303.44,0.001316659
304.41,0.001374011
305.37,0.001407767
306.34,0.001433929
307.3,0.001474035
308.26,0.001529168
309.23,0.001591568
310.19,0.001651887
311.16,0.001708074
312.12,0.001756948
313.09,0.001799823
314.05,0.001842522
315.01,0.001895963
315.98,0.001964278
316.94,0.002032195
317.91,0.002088407
318.87,0.002123759
319.83,0.002131826
320.8,0.002148441
321.76,0.002193263
322.73,0.002256936
323.69,0.002327338
324.66,0.00239201
325.62,0.002452522
326.58,0.002508441
327.55,0.002557954
328.51,0.002604952
329.48,0.002656073
330.44,0.002719091
331.41,0.002784535
332.37,0.002852227
333.33,0.002924175
334.3,0.003001963
335.26,0.003078297
336.23,0.003147646
337.19,0.003222638
338.16,0.003304065
339.12,0.003389328
340.08,0.00347228
341.05,0.00355936
342.01,0.003642016
342.98,0.003715051
343.94,0.003774598
344.91,0.003824742
345.87,0.003882003
346.83,0.003959124
347.8,0.004050945
348.76,0.004149801
349.73,0.004244417
350.69,0.004332403
351.65,0.004426066
352.62,0.004522041
353.58,0.004611807
354.55,0.004686312
355.51,0.004749697
356.48,0.004832357
357.44,0.004929456
358.4,0.00502927
359.37,0.005122535
360.33,0.005201929
361.3,0.005257583
362.26,0.005297356
363.23,0.005340149
364.19,0.005403873
365.15,0.005499185
366.12,0.005605514
367.08,0.005691166
368.05,0.005758472
369.01,0.005818252
369.98,0.005886735
370.94,0.005976893
371.9,0.006066462
372.87,0.006146231
373.83,0.006221184
374.8,0.006299514
375.76,0.00637471
376.72,0.00643847
377.69,0.006511827
378.65,0.00659212
379.62,0.006673655
380.58,0.006743938
381.55,0.006821701
382.51,0.006911694
383.47,0.006996968
384.44,0.007071351
385.4,0.007136526
386.37,0.007229705
387.33,0.007364129
388.3,0.007510189
389.26,0.007635056
390.22,0.007716151
391.19,0.007751567
392.15,0.007805856
393.12,0.00789773
394.08,0.008007855
395.05,0.008118792
396.01,0.008225187
396.97,0.008324912
397.94,0.008405894
398.9,0.008477235
399.87,0.008552183
400.83,0.008643822
401.79,0.008746324
402.76,0.008847783
403.72,0.008952598
404.69,0.009062543
405.65,0.009178411
406.62,0.009306477
407.58,0.009454337
408.54,0.009593571
409.51,0.009712312
410.47,0.00980708
411.44,0.009882257
412.4,0.00993755
413.37,0.0099997
414.33,0.010086264
415.29,0.010189349
416.26,0.010294543
417.22,0.010392064
418.19,0.010514508
419.15,0.010659446
420.12,0.010807436
421.08,0.010939334
422.04,0.011039473
423.01,0.011109902
423.97,0.011174215
424.94,0.011246432
425.9,0.01133794
426.86,0.01145936
427.83,0.011604607
