RamanShift,NBS2
347.8,0.003501509
348.76,0.003585259
349.73,0.003663187
350.69,0.003732736
351.65,0.003803274
352.62,0.003873871
353.58,0.003941995
354.55,0.004005702
355.51,0.004076884
356.48,0.004162115
357.44,0.004255597
358.4,0.004349688
359.37,0.004436063
360.33,0.004506891
361.3,0.004558338
362.26,0.004601857
363.23,0.004649214
364.19,0.00471106
365.15,0.004790647
366.12,0.004877289
367.08,0.004947341
368.05,0.005003905
369.01,0.005057043
369.98,0.005124823
370.94,0.005218859
371.9,0.005302755
372.87,0.005368226
373.83,0.005427849
374.8,0.00549881
375.76,0.005582628
376.72,0.005652374
377.69,0.005727572
378.65,0.005806625
379.62,0.005885098
380.58,0.005951481
381.55,0.006019652
382.51,0.006084854
383.47,0.006142917
384.44,0.006197723
385.4,0.00626129
386.37,0.006359381
387.33,0.006483576
388.3,0.006608802
389.26,0.006719848
390.22,0.006808004
391.19,0.006876344
392.15,0.006946745
393.12,0.007029902
394.08,0.007125567
395.05,0.007231005
396.01,0.007345862
396.97,0.007450965
397.94,0.007533897
398.9,0.007602503
399.87,0.007667131
400.83,0.007735005
401.79,0.00781579
402.76,0.007913287
403.72,0.008022296
404.69,0.00813349
405.65,0.008241006
406.62,0.008353339
407.58,0.008497804
408.54,0.008645089
409.51,0.008768306
410.47,0.008850733
411.44,0.008894008
412.4,0.008935018
413.37,0.009011663
414.33,0.009112588
415.29,0.009221013
416.26,0.009319037
417.22,0.0094067
418.19,0.009509107
419.15,0.009634921
420.12,0.009773694
421.08,0.009909299
422.04,0.01001926
423.01,0.010092955
423.97,0.010155858
424.94,0.01022002
425.9,0.010296307
426.86,0.010397451
427.83,0.010537072
428.79,0.010682848
429.76,0.010807074
430.72,0.010912505
431.69,0.011010671
432.65,0.011108156
433.61,0.011211213
434.58,0.011343954
435.54,0.011508898
436.51,0.01168545
437.47,0.011837762
438.44,0.011938005
439.4,0.012023984
440.36,0.012119328
441.33,0.0122245
442.29,0.012332675
443.26,0.012440229
444.22,0.012568446
445.19,0.012723568
446.15,0.012894447
447.11,0.01307383
448.08,0.01325678
449.04,0.013441661
450.01,0.013592929
450.97,0.013727303
451.93,0.013862945
452.9,0.014009065
453.86,0.014154525
454.83,0.01428534
455.79,0.014394825
456.76,0.014486193
457.72,0.014575039
458.68,0.014683235
459.65,0.014839464
460.61,0.015024883
461.58,0.015217933
462.54,0.015403413
463.51,0.015576331
464.47,0.015741502
465.43,0.01591868
466.4,0.016097902
467.36,0.016261955
468.33,0.016399178
469.29,0.016505999
470.26,0.016596405
471.22,0.016722094
472.18,0.01687977
473.15,0.017045303
474.11,0.017201754
475.08,0.017345927
476.04,0.017496861
477.01,0.017656447
477.97,0.017813709
478.93,0.017969801
479.9,0.018128697
480.86,0.018302152
481.83,0.018496426
482.79,0.018685845
483.75,0.018847731
484.72,0.018978085
485.68,0.019088524
486.65,0.019192047
487.61,0.019294464
488.58,0.019396832
489.54,0.019490236
490.5,0.019573393
491.47,0.019651136
492.43,0.01973903
493.4,0.019847921
494.36,0.01998307
495.33,0.020141342
496.29,0.02030851
497.25,0.020458401
498.22,0.020579121
499.18,0.020695177
500.15,0.020821096
501.11,0.020956644
502.08,0.021099589
503.04,0.021250575
504,0.02141566
504.97,0.021578171
505.93,0.021730747
506.9,0.021875188
507.86,0.02202144
508.82,0.022180094
509.79,0.022348974
510.75,0.022528088
511.72,0.022714804
512.68,0.022901687
513.65,0.023083235
514.61,0.023248142
515.57,0.02340043
516.54,0.023551092
517.5,0.023709972
518.47,0.023885971
519.43,0.024058272
520.4,0.024190064
521.36,0.024286631
522.32,0.024380449
523.29,0.024507457
524.25,0.024691476
525.22,0.02489694
526.18,0.025070734
527.15,0.025218795
528.11,0.025361836
529.07,0.025532349
530.04,0.025767022
531,0.026069978
531.97,0.026372715
532.93,0.026621314
533.89,0.026791578
534.86,0.026890471
535.82,0.026981017
536.79,0.027105867
537.75,0.027206651
538.72,0.027265726
539.68,0.02729237
540.64,0.027329792
541.61,0.027429579
542.57,0.027563752
543.54,0.027694029
544.5,0.027799862
545.47,0.027871355
546.43,0.027900866
547.39,0.027898788
548.36,0.027881988
549.32,0.027820482
550.29,0.027707056
551.25,0.02755451
552.22,0.027411868
553.18,0.027335191
554.14,0.027328884
555.11,0.027359995
556.07,0.027367519
557.04,0.027306251
558,0.027188738
558.96,0.027110019
559.93,0.027033295
560.89,0.026913678
561.86,0.026735199
562.82,0.026508897
563.79,0.026269435
564.75,0.026045834
565.71,0.025850547
566.68,0.025683411
567.64,0.025536852
568.61,0.025408055
569.57,0.025286381
570.54,0.025124059
571.5,0.024909825
572.46,0.024687987
573.43,0.024497741
574.39,0.024348945
