RamanShift,NBS4
49.85,-2.76994E-05
50.81,-7.56707E-06
51.78,8.79218E-06
52.74,2.16229E-05
53.71,3.61355E-05
54.67,5.77707E-05
55.64,9.37121E-05
56.6,0.000129683
57.56,0.000166053
58.53,0.000200232
59.49,0.000228162
60.46,0.000241766
61.42,0.00024901
62.38,0.000246839
63.35,0.000236599
64.31,0.000225901
65.28,0.000225981
66.24,0.000232732
67.21,0.000246973
68.17,0.000269117
69.13,0.000299654
70.1,0.000331397
71.06,0.000363016
72.03,0.000391804
72.99,0.000414302
73.96,0.000430289
74.92,0.000444226
75.88,0.000450737
76.85,0.000450791
77.81,0.000452573
78.78,0.00045829
79.74,0.000466668
80.71,0.000480778
81.67,0.000501003
82.63,0.000520496
83.6,0.000530771
84.56,0.000534686
85.53,0.000533841
86.49,0.000529901
87.45,0.000531618
88.42,0.000548512
89.38,0.000576074
90.35,0.000609025
91.31,0.000638376
92.28,0.000665869
93.24,0.000682761
94.2,0.000685629
95.17,0.00067695
96.13,0.000672122
97.1,0.000668312
98.06,0.00066534
99.03,0.000661796
99.99,0.000655913
100.95,0.000654014
101.92,0.000666658
102.88,0.000686434
103.85,0.000710631
104.81,0.000737017
105.78,0.000762975
106.74,0.000782087
107.7,0.000793846
108.67,0.000797146
109.63,0.000790622
110.6,0.000769676
111.56,0.000756999
112.52,0.00075727
113.49,0.000770387
114.45,0.000785408
115.42,0.00080342
116.38,0.000816624
117.35,0.000823269
118.31,0.000823148
119.27,0.000822518
120.24,0.000829728
121.2,0.000844283
122.17,0.000864238
123.13,0.000884714
124.1,0.000895791
125.06,0.000894575
126.02,0.000884858
126.99,0.000871416
127.95,0.000862544
128.92,0.000863409
129.88,0.000864864
130.85,0.000864346
131.81,0.000861143
132.77,0.00085873
133.74,0.00085894
134.7,0.000862355
135.67,0.000869763
136.63,0.000880503
137.59,0.000887177
138.56,0.000892273
139.52,0.000895659
140.49,0.000896284
141.45,0.000892592
142.42,0.000885756
143.38,0.000873555
144.34,0.000856248
145.31,0.000836838
146.27,0.000820778
147.24,0.000817975
148.2,0.000821015
149.17,0.00082658
150.13,0.000832857
151.09,0.000839967
152.06,0.000852222
153.02,0.000857072
153.99,0.000853936
154.95,0.000843987
155.92,0.000831576
156.88,0.000810373
157.84,0.000788392
158.81,0.00076965
159.77,0.000757125
160.74,0.000750615
161.7,0.00074589
162.66,0.000738985
163.63,0.000729326
164.59,0.000717477
165.56,0.000707766
166.52,0.000702148
167.49,0.000699459
168.45,0.000700271
169.41,0.000705805
170.38,0.000715
