RamanShift,SLS4
49.85,1.58261E-05
50.81,2.8737E-05
51.78,3.79758E-05
52.74,4.33459E-05
53.71,5.32893E-05
54.67,7.71809E-05
55.64,0.000128844
56.6,0.000176925
57.56,0.000221773
58.53,0.000260417
59.49,0.00028835
60.46,0.000292846
61.42,0.000287951
62.38,0.000268363
63.35,0.000236877
64.31,0.000208016
65.28,0.000206325
66.24,0.000217958
67.21,0.00024018
68.17,0.000270325
69.13,0.000308777
70.1,0.000348772
71.06,0.000388709
72.03,0.000422952
72.99,0.000443658
73.96,0.000445508
74.92,0.000444404
75.88,0.000431867
76.85,0.000410534
77.81,0.000397535
78.78,0.000404239
79.74,0.00041553
80.71,0.00043415
81.67,0.000459613
82.63,0.00047971
83.6,0.000477404
84.56,0.000464074
85.53,0.000446142
86.49,0.000429241
87.45,0.000424474
88.42,0.0004428
89.38,0.000478621
90.35,0.000522758
91.31,0.000559114
92.28,0.000588338
93.24,0.000600441
94.2,0.000589154
95.17,0.000557312
96.13,0.000529604
97.1,0.00049844
98.06,0.000472641
99.03,0.000454584
99.99,0.000444247
100.95,0.000443757
101.92,0.000464322
102.88,0.000493929
103.85,0.000528448
104.81,0.00056518
105.78,0.000595828
106.74,0.000607817
107.7,0.000601931
108.67,0.000579227
109.63,0.000542454
110.6,0.000484738
111.56,0.000445838
112.52,0.000436705
113.49,0.000456236
114.45,0.00047332
115.42,0.000483076
116.38,0.000488542
117.35,0.000492386
118.31,0.00049653
119.27,0.000495879
120.24,0.000490509
121.2,0.000489642
122.17,0.000497658
123.13,0.000515716
124.1,0.000527007
125.06,0.000517982
126.02,0.000494057
126.99,0.00046337
127.95,0.000438502
128.92,0.000425503
129.88,0.000415248
130.85,0.000405415
131.81,0.000395425
132.77,0.000387418
133.74,0.000383622
134.7,0.000384393
135.67,0.000391066
136.63,0.000403514
137.59,0.000410628
138.56,0.000416175
139.52,0.000417176
140.49,0.000408958
141.45,0.000387337
142.42,0.000360149
143.38,0.000335178
144.34,0.000310453
145.31,0.000285717
146.27,0.000263711
147.24,0.00025423
148.2,0.000256104
149.17,0.000266256
150.13,0.000281065
151.09,0.000293217
152.06,0.000301323
153.02,0.000303878
153.99,0.000302417
154.95,0.000297791
155.92,0.00028788
156.88,0.000258273
157.84,0.000228347
158.81,0.000206611
159.77,0.000196893
160.74,0.000195616
161.7,0.000193177
162.66,0.00018697
163.63,0.000176513
164.59,0.000161677
165.56,0.000148418
166.52,0.000146759
167.49,0.000155496
168.45,0.000169854
169.41,0.000181698
170.38,0.000182188
171.34,0.000171797
172.31,0.000155496
173.27,0.000137225
174.24,0.000121896
175.2,0.000110027
176.16,0.000102978
177.13,9.70514E-05
178.09,9.0154E-05
179.06,7.92114E-05
180.02,7.33127E-05
180.99,7.34558E-05
181.95,7.71609E-05
182.91,7.95757E-05
183.88,7.5223E-05
184.84,6.30388E-05
185.81,5.20008E-05
186.77,4.8673E-05
187.74,5.60355E-05
188.7,7.15599E-05
189.66,7.44814E-05
190.63,6.30234E-05
191.59,4.36338E-05
192.56,2.53626E-05
193.52,1.81249E-05
194.48,2.21792E-05
195.45,2.12751E-05
196.41,1.2809E-05
197.38,-3.91979E-07
198.34,-1.99762E-06
199.31,9.77875E-06
200.27,2.3325E-05
201.23,3.39344E-05
202.2,4.09857E-05
203.16,4.81628E-05
204.13,5.65016E-05
205.09,6.1736E-05
206.06,6.21179E-05
207.02,5.92226E-05
207.98,5.90449E-05
208.95,6.72061E-05
209.91,7.60644E-05
210.88,8.44641E-05
211.84,9.12881E-05
212.81,9.81868E-05
213.77,0.000108089
214.73,0.000117544
215.7,0.000123587
216.66,0.00012381
217.63,0.000125199
218.59,0.000130813
219.55,0.00014012
220.52,0.00015379
221.48,0.00017378
222.45,0.000200192
223.41,0.000213924
224.38,0.000212184
225.34,0.000199079
226.3,0.000186414
227.27,0.000183759
228.23,0.000188781
229.2,0.000199017
230.16,0.000215251
231.13,0.000236919
232.09,0.000260851
233.05,0.000272457
234.02,0.00026747
234.98,0.000250967
235.95,0.000230154
236.91,0.000228157
237.88,0.00024326
238.84,0.000268913
239.8,0.000300434
240.77,0.000333027
241.73,0.000353351
242.7,0.000364695
243.66,0.000382577
244.62,0.000414281
245.59,0.000457172
246.55,0.000482418
247.52,0.000491145
248.48,0.000497742
249.45,0.000511043
250.41,0.000531911
251.37,0.000555243
252.34,0.000569039
253.3,0.000583719
254.27,0.000603875
255.23,0.00063266
256.2,0.000655587
257.16,0.000659356
258.12,0.000656893
259.09,0.000660644
260.05,0.000684905
261.02,0.000734803
261.98,0.000782832
262.95,0.000810513
263.91,0.000824735
264.87,0.000839884
265.84,0.000878841
266.8,0.00090668
267.77,0.000916642
268.73,0.000917525
269.69,0.000923374
270.66,0.0009452
271.62,0.000978162
272.59,0.001015705
273.55,0.001051022
274.52,0.001079833
