RamanShift,SLS1
340.084,0.006253771
341.048,0.006365251
342.012,0.006465255
342.976,0.006549076
343.941,0.006614382
344.905,0.006661464
345.869,0.006719803
346.834,0.006809252
347.798,0.00692019
348.762,0.007038094
349.726,0.007145805
350.69,0.007240596
351.655,0.007336994
352.619,0.007432553
353.583,0.007524825
354.547,0.007613656
355.512,0.007713645
356.476,0.007823916
357.44,0.007932162
358.404,0.008037292
359.368,0.008139878
360.333,0.008237669
361.297,0.008308406
362.261,0.008363138
363.225,0.008418518
364.19,0.00848612
365.154,0.008568192
366.118,0.008661651
367.082,0.008755242
368.047,0.008841922
369.011,0.008920376
369.975,0.008995156
370.939,0.009081227
371.904,0.009170625
372.868,0.009253093
373.832,0.009334158
374.796,0.009422132
375.76,0.009513624
376.725,0.009588921
377.689,0.009669668
378.653,0.009757046
379.617,0.00984682
380.582,0.009930534
381.546,0.010014881
382.51,0.010091752
383.474,0.010158359
384.439,0.01022308
385.403,0.010303338
386.367,0.010425869
387.331,0.010571101
388.296,0.010711585
389.26,0.010830731
390.224,0.010919648
391.188,0.010980796
392.152,0.011051641
393.117,0.01115009
394.081,0.011263885
395.045,0.011379691
396.009,0.011490061
396.974,0.01159846
397.938,0.011702059
398.902,0.011791419
399.866,0.011863522
400.83,0.011922441
401.795,0.011992579
402.759,0.012094587
403.723,0.012214614
404.688,0.012335432
405.652,0.012446641
406.616,0.012560404
407.58,0.012718284
408.544,0.012884481
409.509,0.013025524
410.473,0.013123203
411.437,0.013178214
412.401,0.013225215
413.366,0.013305447
414.33,0.013413454
415.294,0.01353139
416.258,0.013639888
417.223,0.013736128
418.187,0.013849344
419.151,0.013989706
420.115,0.014144539
421.079,0.014293641
422.044,0.014412798
423.008,0.014491109
423.972,0.014558883
424.936,0.014634056
425.901,0.014732132
426.865,0.01486302
427.829,0.015021624
428.793,0.015161888
429.757,0.01527909
430.722,0.015383769
431.686,0.015486954
432.65,0.015593631
433.615,0.01572418
434.579,0.015875129
435.543,0.016029443
436.507,0.016172479
437.471,0.016294517
438.436,0.016395857
439.4,0.01649041
440.364,0.016584953
441.328,0.016679258
442.293,0.016773448
443.257,0.016870878
444.221,0.016998054
445.185,0.017144713
446.149,0.017296593
447.114,0.017447847
448.078,0.017597669
449.042,0.017737282
450.006,0.017842687
450.971,0.017936758
451.935,0.018037917
452.899,0.018154961
453.863,0.018279551
454.828,0.018379517
455.792,0.018444754
456.756,0.01847721
457.72,0.018490839
458.685,0.018508571
459.649,0.018570052
460.613,0.018681506
461.577,0.018811691
462.541,0.018936423
463.506,0.019043147
464.47,0.019137931
465.434,0.019234572
466.398,0.019315005
467.363,0.019374454
468.327,0.019406214
469.291,0.019406612
470.255,0.019384118
471.22,0.019388112
472.184,0.019429787
473.148,0.019495687
474.112,0.019566703
475.077,0.019624563
476.041,0.019666969
477.005,0.019708495
477.969,0.019751721
478.933,0.019798751
479.898,0.019853366
480.862,0.019923757
481.826,0.020017026
482.79,0.020106124
483.755,0.020169533
484.719,0.020200298
485.683,0.020205205
486.647,0.020194817
487.611,0.020184615
488.576,0.020174742
489.54,0.020157596
490.504,0.020127216
491.469,0.020085287
492.433,0.020056711
493.397,0.020056981
494.361,0.020088335
495.325,0.0201406
496.29,0.0201946
497.254,0.020224015
498.218,0.020228706
499.182,0.020233162
500.147,0.020258633
501.111,0.02031869
502.075,0.020413657
503.039,0.020502599
504.003,0.020579736
504.968,0.020653472
505.932,0.020721781
506.896,0.020787203
507.86,0.020866371
508.825,0.020994202
509.789,0.021132014
510.753,0.021255947
511.717,0.021366624
512.682,0.021480865
513.646,0.021621835
514.61,0.021776244
515.574,0.021930521
516.539,0.022094439
517.503,0.022275193
518.467,0.022473427
519.431,0.022662587
520.395,0.022828949
521.36,0.022984678
522.324,0.023151093
523.288,0.023353481
524.252,0.023614576
525.217,0.023905139
526.181,0.024164622
527.145,0.024407023
528.109,0.024663202
529.074,0.024968203
530.038,0.025355304
531.002,0.025814012
531.966,0.026280423
532.931,0.026723279
533.895,0.027122629
534.859,0.027475013
535.823,0.027789805
536.788,0.028087355
537.752,0.02838429
538.716,0.028689085
539.68,0.028998159
540.644,0.02929796
541.609,0.029612543
542.573,0.02998297
543.537,0.030391968
544.501,0.030799985
545.466,0.031168764
546.43,0.031480415
547.394,0.031735805
548.358,0.031937843
549.322,0.032068776
550.287,0.032137849
551.251,0.032176364
552.215,0.032237389
553.179,0.032345001
554.144,0.032503053
555.108,0.032701653
556.072,0.032896447
557.036,0.03303104
558.001,0.033070131
558.965,0.033088651
559.929,0.033103224
560.893,0.033080483
561.857,0.032994931
562.822,0.032838864
563.786,0.032622152
564.75,0.032415822
565.714,0.032266094
566.679,0.032162443
567.643,0.032071897
568.607,0.031954899
569.571,0.031804959
570.536,0.031654131
571.5,0.031500893
572.464,0.031338842
573.428,0.031163993
574.393,0.030975169
575.357,0.030783028
576.321,0.030608589
577.285,0.030438577
578.25,0.030231415
579.214,0.029964229
580.178,0.029659363
581.142,0.029416055
582.106,0.029268737
583.071,0.029168694
584.035,0.029064197
584.999,0.028917881
585.963,0.028720189
586.928,0.028482034
587.892,0.028224768
588.856,0.027987497
589.82,0.02780475
590.784,0.027678428
591.749,0.027557703
592.713,0.02734077
593.677,0.02709523
594.641,0.026863352
595.606,0.026659577
596.57,0.026477707
597.534,0.026297095
598.498,0.026058553
599.463,0.025759865
600.427,0.025438341
601.391,0.025124651
602.355,0.024830406
603.319,0.024542796
604.284,0.024267382
605.248,0.024034691
