RamanShift,SLS3
49.85,-3.41493E-05
50.81,-1.88222E-05
51.78,-8.57725E-06
52.74,-3.41004E-06
53.71,5.29824E-06
54.67,2.64909E-05
55.64,7.23237E-05
56.6,0.000116169
57.56,0.000158825
58.53,0.000196983
59.49,0.000225348
60.46,0.000231838
61.42,0.0002297
62.38,0.00021453
63.35,0.000188765
64.31,0.000164209
65.28,0.000159621
66.24,0.000165964
67.21,0.000182334
68.17,0.000207971
69.13,0.000242959
70.1,0.000278404
71.06,0.000313076
72.03,0.000342972
72.99,0.000363155
73.96,0.00037125
74.92,0.000375826
75.88,0.000369298
76.85,0.000353902
77.81,0.000344032
78.78,0.000346916
79.74,0.000354059
80.71,0.000368774
81.67,0.000391215
82.63,0.000410186
83.6,0.000410735
84.56,0.000401769
85.53,0.000388178
86.49,0.000374159
87.45,0.000370044
88.42,0.000386774
89.38,0.000418989
90.35,0.000458165
91.31,0.000489731
92.28,0.000513372
93.24,0.000523329
94.2,0.000515003
95.17,0.000491202
96.13,0.00047056
97.1,0.000446807
98.06,0.000426561
99.03,0.000410215
99.99,0.00039748
100.95,0.000393726
101.92,0.000412066
102.88,0.000439924
103.85,0.000472429
104.81,0.000505881
105.78,0.000533947
106.74,0.000545673
107.7,0.00054193
108.67,0.000523983
109.63,0.000495518
110.6,0.000451028
111.56,0.000421206
112.52,0.000414436
113.49,0.000429785
114.45,0.000443916
115.42,0.000453753
116.38,0.000459471
117.35,0.00046254
118.31,0.000464612
119.27,0.000462912
120.24,0.000459118
121.2,0.000460039
122.17,0.00046783
123.13,0.000482103
124.1,0.000489369
125.06,0.000482368
126.02,0.000464629
126.99,0.000441837
127.95,0.000422995
128.92,0.000412997
129.88,0.000404599
130.85,0.000395091
131.81,0.00038435
132.77,0.000376816
133.74,0.000376078
134.7,0.000379295
135.67,0.000388885
136.63,0.000403896
137.59,0.00041177
138.56,0.000412053
139.52,0.000407835
140.49,0.000398803
141.45,0.000383538
142.42,0.000364283
143.38,0.000337468
144.34,0.00030532
145.31,0.000273619
146.27,0.000251076
147.24,0.000248917
148.2,0.000253267
149.17,0.000260259
150.13,0.000268116
151.09,0.000277411
152.06,0.000293271
153.02,0.000300506
153.99,0.00029752
154.95,0.000286407
155.92,0.000273355
156.88,0.000254897
157.84,0.000235436
158.81,0.000216973
159.77,0.000201843
160.74,0.00019223
161.7,0.000187111
162.66,0.000180959
163.63,0.00017164
164.59,0.000157833
165.56,0.000145266
166.52,0.000141748
167.49,0.000146614
168.45,0.000156935
169.41,0.000167752
170.38,0.000174232
171.34,0.000168416
172.31,0.000153908
173.27,0.000136112
174.24,0.000120978
175.2,0.000108929
176.16,0.000101766
177.13,9.58299E-05
