RamanShift,SLS2
49.85,-0.000109631
50.81,-9.77928E-05
51.78,-8.82884E-05
52.74,-8.09435E-05
53.71,-7.19701E-05
54.67,-5.69337E-05
55.64,-2.89357E-05
56.6,-2.69882E-06
57.56,2.03009E-05
58.53,3.94737E-05
59.49,5.46255E-05
60.46,6.09559E-05
61.42,6.29389E-05
62.38,5.74095E-05
63.35,4.54807E-05
64.31,3.40504E-05
65.28,3.50888E-05
66.24,4.23115E-05
67.21,5.43959E-05
68.17,7.04167E-05
69.13,9.10795E-05
70.1,0.000113276
71.06,0.000135681
72.03,0.000154889
72.99,0.000166468
73.96,0.000167594
74.92,0.000169819
75.88,0.000169544
76.85,0.000166824
77.81,0.000165882
78.78,0.000169223
79.74,0.00017403
80.71,0.000181905
81.67,0.000193119
82.63,0.000203089
83.6,0.000205035
84.56,0.000201944
85.53,0.000196304
86.49,0.000190539
87.45,0.000191591
88.42,0.000204312
89.38,0.00022497
90.35,0.000248607
91.31,0.000267244
92.28,0.000280791
93.24,0.000286507
94.2,0.00028271
95.17,0.000271187
96.13,0.000261619
97.1,0.000247053
98.06,0.000235185
99.03,0.000228191
99.99,0.000226193
100.95,0.000227524
101.92,0.000238225
102.88,0.000252771
103.85,0.000269026
104.81,0.000285171
105.78,0.000298958
106.74,0.000305179
107.7,0.000304021
108.67,0.000296045
109.63,0.000283397
110.6,0.000263543
111.56,0.000251033
112.52,0.00025017
113.49,0.0002606
114.45,0.000270447
115.42,0.000276563
116.38,0.000279279
117.35,0.000280324
118.31,0.000281259
119.27,0.000279046
120.24,0.000274947
121.2,0.000275245
122.17,0.000282033
123.13,0.000294633
124.1,0.000301922
125.06,0.000298344
126.02,0.000286666
126.99,0.000271186
127.95,0.000258308
128.92,0.000252223
129.88,0.000248611
130.85,0.000245471
131.81,0.00024215
132.77,0.000239794
133.74,0.000241983
134.7,0.000245531
135.67,0.000249906
136.63,0.000254425
137.59,0.000254515
138.56,0.000252975
139.52,0.000250361
140.49,0.000246015
141.45,0.000238991
142.42,0.000229955
143.38,0.000216949
144.34,0.000199588
145.31,0.000179629
146.27,0.000161199
147.24,0.000152842
148.2,0.000152775
149.17,0.000158292
150.13,0.000166637
151.09,0.000174205
152.06,0.000181454
153.02,0.000183906
153.99,0.0001816
154.95,0.0001758
155.92,0.000169533
156.88,0.000160115
157.84,0.000149138
158.81,0.000138591
159.77,0.000129828
160.74,0.000123966
161.7,0.000117951
162.66,0.000109514
163.63,9.93039E-05
164.59,8.88629E-05
165.56,8.27225E-05
166.52,8.19122E-05
167.49,8.55002E-05
168.45,9.26714E-05
169.41,0.000102032
170.38,0.000108912
171.34,0.000105181
172.31,9.51907E-05
173.27,8.24545E-05
174.24,7.22282E-05
175.2,6.43772E-05
176.16,6.03811E-05
177.13,5.6711E-05
178.09,5.13291E-05
179.06,4.31678E-05
180.02,4.15002E-05
180.99,4.65084E-05
181.95,5.35007E-05
182.91,5.82624E-05
183.88,5.62159E-05
184.84,4.56563E-05
185.81,3.60041E-05
186.77,3.14794E-05
187.74,3.33339E-05
188.7,3.72365E-05
189.66,3.5764E-05
190.63,2.96948E-05
191.59,2.02951E-05
192.56,1.09678E-05
193.52,1.03834E-05
194.48,1.80501E-05
195.45,1.96522E-05
196.41,1.33618E-05
197.38,2.37173E-06
198.34,-7.49192E-07
199.31,9.34659E-06
200.27,2.35662E-05
201.23,3.8756E-05
202.2,5.24211E-05
203.16,6.40111E-05
204.13,7.42451E-05
205.09,8.38539E-05
206.06,9.30877E-05
207.02,0.000101926
207.98,0.000108254
208.95,0.000109899
209.91,0.000113956
210.88,0.000123725
211.84,0.000139318
212.81,0.000152404
213.77,0.000157951
214.73,0.000163011
215.7,0.00017149
216.66,0.000185974
217.63,0.000201795
218.59,0.000210679
219.55,0.000215073
220.52,0.000218946
221.48,0.000226629
222.45,0.000239403
223.41,0.00025173
224.38,0.000260652
225.34,0.000265467
226.3,0.000266405
227.27,0.000270083
228.23,0.000281111
229.2,0.000299053
230.16,0.000323393
231.13,0.000352106
232.09,0.000377389
233.05,0.000395073
234.02,0.000407581
234.98,0.000415392
235.95,0.000418146
236.91,0.000422501
237.88,0.000437024
238.84,0.000459235
239.8,0.000486656
240.77,0.000517083
241.73,0.000548164
242.7,0.000581316
243.66,0.000616506
244.62,0.000650724
245.59,0.000680565
246.55,0.000701706
247.52,0.000721366
248.48,0.000741178
249.45,0.000761577
250.41,0.000782485
251.37,0.000808579
252.34,0.000836418
253.3,0.000867728
254.27,0.000903759
255.23,0.000944117
256.2,0.000977619
257.16,0.000993324
258.12,0.00100285
259.09,0.001017708
260.05,0.001048752
261.02,0.001102802
261.98,0.001160005
262.95,0.001209081
263.91,0.001245911
264.87,0.001271117
265.84,0.001290008
266.8,0.001310528
267.77,0.001333241
268.73,0.001358429
269.69,0.001387398
270.66,0.001421874
271.62,0.001466608
272.59,0.00151668
273.55,0.001567133
274.52,0.001611614
275.48,0.001646563
276.44,0.00166696
277.41,0.001677212
278.37,0.001691153
279.34,0.001724098
280.3,0.001791327
281.27,0.001877474
282.23,0.001960937
283.19,0.002030197
284.16,0.002078686
285.12,0.002109323
286.09,0.002150707
287.05,0.002206718
288.02,0.002272963
288.98,0.002341873
289.94,0.002406053
290.91,0.002461536
291.87,0.002510626
292.84,0.002558421
293.8,0.002609617
294.76,0.002672113
295.73,0.002752145
296.69,0.002832716
297.66,0.002907173
298.62,0.002975143
299.59,0.003042392
300.55,0.003112363
301.51,0.003176764
302.48,0.003239917
303.44,0.003301961
304.41,0.003359374
305.37,0.003398821
306.34,0.003440592
307.3,0.003503268
308.26,0.003587776
309.23,0.003686298
310.19,0.003784926
311.16,0.003878591
312.12,0.003961403
313.09,0.004032574
314.05,0.004095062
315.01,0.004161982
315.98,0.004244175
316.94,0.00432626
317.91,0.00440047
318.87,0.004462211
319.83,0.004512526
320.8,0.004558694
321.76,0.004617339
322.73,0.004690078
323.69,0.004773539
324.66,0.004858306
325.62,0.004939741
326.58,0.005015366
327.55,0.005084246
328.51,0.00514799
329.48,0.005215019
330.44,0.005295154
331.41,0.005386315
332.37,0.005483805
333.33,0.005583052
334.3,0.005678273
335.26,0.005759555
336.23,0.005834955
337.19,0.005917208
338.16,0.006009695
339.12,0.006112019
340.08,0.006222869
341.05,0.006337591
342.01,0.006448201
342.98,0.006546143
343.94,0.006623838
344.91,0.006677576
345.87,0.006741059
346.83,0.0068384
347.8,0.006958101
348.76,0.007081826
349.73,0.007191354
350.69,0.007284792
351.65,0.007381122
352.62,0.00747831
353.58,0.00757402
354.55,0.007668133
355.51,0.007775045
356.48,0.007890779
357.44,0.008003191
358.4,0.008111403
359.37,0.008217513
360.33,0.008316004
361.3,0.008393208
362.26,0.00846311
363.23,0.008536069
364.19,0.008617085
365.15,0.008705403
366.12,0.008803199
367.08,0.008904359
368.05,0.009001293
369.01,0.009089577
369.98,0.009169688
370.94,0.00925688
371.9,0.009348896
372.87,0.009437931
373.83,0.00952567
374.8,0.009620714
375.76,0.009717083
376.72,0.009800298
377.69,0.009892687
378.65,0.009991104
379.62,0.010089052
380.58,0.010175119
381.55,0.01026201
382.51,0.010343569
383.47,0.010416778
384.44,0.010490584
385.4,0.010581845
386.37,0.010714424
387.33,0.010869599
388.3,0.011022006
389.26,0.011150939
390.22,0.011246956
391.19,0.011310116
392.15,0.011384776
393.12,0.011487037
394.08,0.011604687
395.05,0.011728189
396.01,0.011849766
396.97,0.011971215
397.94,0.012092253
398.9,0.012198587
399.87,0.012281708
400.83,0.012342641
401.79,0.012412289
402.76,0.012516241
403.72,0.012640313
404.69,0.012770441
405.65,0.012897113
406.62,0.013031342
407.58,0.013198592
408.54,0.013366606
409.51,0.013512459
410.47,0.013622496
411.44,0.013698763
412.4,0.013767457
413.37,0.013872373
414.33,0.013998093
415.29,0.014122111
416.26,0.014225454
417.22,0.014318851
418.19,0.014436455
419.15,0.014581393
420.12,0.014738027
421.08,0.014885746
422.04,0.015007437
423.01,0.015111627
423.97,0.015212694
424.94,0.015308363
425.9,0.015405473
426.86,0.01551992
427.83,0.01567668
428.79,0.015842144
429.76,0.015981501
430.72,0.016096536
431.69,0.0162006
432.65,0.016306157
433.61,0.016427871
434.58,0.016576128
435.54,0.016740447
436.51,0.016904408
437.47,0.017046761
438.44,0.017155644
439.4,0.017253031
440.36,0.017354764
441.33,0.01746053
442.29,0.017566171
443.26,0.017671059
444.22,0.017800349
445.19,0.017958653
446.15,0.018135208
447.11,0.018317479
448.08,0.018490294
449.04,0.018635772
450.01,0.018752298
450.97,0.018859415
451.93,0.018975257
452.9,0.019108903
453.86,0.019253432
454.83,0.019372797
455.79,0.019451157
456.76,0.019497079
457.72,0.019526043
458.68,0.019564302
459.65,0.019648639
460.61,0.019777503
461.58,0.019922003
462.54,0.020059492
463.51,0.020180653
464.47,0.020290348
465.43,0.020400269
466.4,0.020493644
467.36,0.020567197
468.33,0.020617638
469.29,0.020641004
470.26,0.020644301
471.22,0.020678829
472.18,0.020743577
473.15,0.020813362
474.11,0.020871063
475.08,0.020916697
476.04,0.020976204
477.01,0.021044477
477.97,0.021110321
478.93,0.021170862
479.9,0.021232947
480.86,0.021304529
481.83,0.021392296
482.79,0.021479733
483.75,0.021552598
484.72,0.021599359
485.68,0.021614892
486.65,0.021609444
487.61,0.021600277
488.58,0.021586697
489.54,0.021562792
490.5,0.021529082
491.47,0.021487025
492.43,0.021460863
493.4,0.021466104
494.36,0.021502771
495.33,0.021556112
496.29,0.021603142
497.25,0.021621445
498.22,0.021611474
499.18,0.021598572
500.15,0.021604223
501.11,0.021641908
502.08,0.021713136
503.04,0.021779894
504,0.021831238
504.97,0.021885008
505.93,0.021946032
506.9,0.022016609
507.86,0.022094465
508.82,0.022196219
509.79,0.022304637
510.75,0.022398968
511.72,0.022484151
512.68,0.022571794
513.65,0.022686268
514.61,0.02281137
515.57,0.022922874
516.54,0.02303123
517.5,0.023146323
518.47,0.023279406
519.43,0.023403256
520.4,0.023507718
521.36,0.023604691
522.32,0.023711062
523.29,0.023845935
524.25,0.024027806
525.22,0.024231483
526.18,0.02439401
527.15,0.024540093
528.11,0.024704649
529.07,0.02492583
530.04,0.025222375
531,0.025554936
531.97,0.025880145
532.93,0.026180709
533.89,0.026443519
534.86,0.026670013
535.82,0.026876671
536.79,0.027097293
537.75,0.027298897
538.72,0.027476406
539.68,0.027633418
540.64,0.027788847
541.61,0.027966721
542.57,0.02820364
543.54,0.02849256
544.5,0.028787348
545.47,0.029041621
546.43,0.029225714
547.39,0.029358199
548.36,0.029463278
549.32,0.029518815
550.29,0.029525774
551.25,0.029505436
552.22,0.029507288
553.18,0.029553434
554.14,0.029651404
555.11,0.029780118
556.07,0.029885121
557.04,0.02991985
558,0.029893556
558.96,0.029899244
559.93,0.029904251
560.89,0.029867894
561.86,0.029767681
562.82,0.029606297
563.79,0.029398391
564.75,0.029199794
565.71,0.029040884
566.68,0.02891919
567.64,0.028813221
568.61,0.028699064
569.57,0.028570875
570.54,0.028433444
571.5,0.028281723
572.46,0.02811882
573.43,0.027947382
574.39,0.027768622
575.36,0.027577739
576.32,0.02738177
577.29,0.027193472
578.25,0.026990528
579.21,0.026752647
580.18,0.026483603
581.14,0.026258393
582.11,0.026107824
583.07,0.025988954
584.03,0.025857519
585,0.025683192
585.96,0.025453861
586.93,0.025181031
587.89,0.024909834
588.86,0.02467966
589.82,0.02450166
590.78,0.024357517
591.75,0.024201178
592.71,0.023963736
593.68,0.023706278
594.64,0.0234567
595.61,0.023217304
596.57,0.022984831
597.53,0.022759604
598.5,0.022519207
599.46,0.022232957
600.43,0.021921285
601.39,0.021607781
602.36,0.021310498
603.32,0.02102973
604.28,0.02076754
605.25,0.020541584
606.21,0.020325386
607.18,0.020089906
608.14,0.019809113
609.1,0.01948467
610.07,0.019164162
611.03,0.018881918
612,0.018625164
612.96,0.018366822
613.93,0.018091266
614.89,0.01782039
615.85,0.017587561
616.82,0.017365447
617.78,0.01714957
618.75,0.016939422
619.71,0.016735608
620.68,0.016535162
621.64,0.016305101
622.6,0.016047017
623.57,0.015775237
624.53,0.015513666
625.5,0.015283443
626.46,0.015088271
627.43,0.014943004
628.39,0.014804676
629.35,0.014638204
630.32,0.014447899
631.28,0.014261543
632.25,0.014102293
633.21,0.013970918
634.18,0.01384842
635.14,0.013713065
636.1,0.013554762
637.07,0.01337352
638.03,0.013185889
639,0.013034914
639.96,0.012928257
640.92,0.012842438
641.89,0.012743091
642.85,0.012609557
643.82,0.012444832
644.78,0.012249555
645.75,0.012040233
646.71,0.01186218
647.67,0.011736086
648.64,0.011658418
649.6,0.011585584
650.57,0.011460961
651.53,0.011304232
652.5,0.011140243
653.46,0.010968503
654.42,0.010787838
655.39,0.010613491
656.35,0.010483582
657.32,0.010379506
658.28,0.0102596
659.25,0.010122768
660.21,0.009976862
661.17,0.009828975
662.14,0.009668146
663.1,0.009525971
664.07,0.009404323
665.03,0.009284805
665.99,0.009152165
666.96,0.009003727
667.92,0.008847479
668.89,0.008693599
669.85,0.008533285
670.82,0.008372503
671.78,0.008222249
672.74,0.008084166
673.71,0.007954224
674.67,0.007802243
675.64,0.007641246
676.6,0.007485201
677.57,0.007334426
678.53,0.007187222
679.49,0.007048066
680.46,0.006915709
681.42,0.006766835
682.39,0.006598724
683.35,0.006432754
684.32,0.006292384
685.28,0.006187672
686.24,0.006070908
687.21,0.00590862
688.17,0.005742686
689.14,0.005598178
690.1,0.00547795
691.06,0.005367542
692.03,0.005240643
692.99,0.00508517
693.96,0.004923319
694.92,0.004777043
695.89,0.004643657
696.85,0.004505236
697.81,0.004344007
698.78,0.00419866
699.74,0.004055686
700.71,0.003907792
701.67,0.003769767
702.64,0.003650816
703.6,0.003540377
704.56,0.003429534
705.53,0.003336453
706.49,0.00324901
707.46,0.003158293
708.42,0.003071749
709.39,0.003007697
710.35,0.002964655
711.31,0.002887957
712.28,0.002765257
713.24,0.002646672
714.21,0.002564455
715.17,0.002520237
716.13,0.002457435
717.1,0.002325202
718.06,0.002217142
719.03,0.002165872
719.99,0.002145327
720.96,0.002123188
721.92,0.002086959
722.88,0.002047503
723.85,0.002001725
724.81,0.001949508
725.78,0.001908076
726.74,0.001885256
