Wavenumber,MW0
399.92240000000000,0.02841554892324
400.16340000000000,0.02835801483017
400.40450000000000,0.02828056251117
400.64550000000000,0.02819038163299
400.88660000000000,0.02810016723654
401.12770000000000,0.02802375398360
401.36870000000000,0.02797192637427
401.60980000000000,0.02794788540238
401.85090000000000,0.02794718151892
402.09190000000000,0.02795893804857
402.33300000000000,0.02797119735212
402.57400000000000,0.02797563852155
402.81510000000000,0.02797269729425
403.05620000000000,0.02797052698692
403.29720000000000,0.02798233379396
403.53830000000000,0.02801997479980
403.77940000000000,0.02808923190426
404.02040000000000,0.02818616671181
404.26150000000000,0.02829833556847
404.50250000000000,0.02840768889130
404.74360000000000,0.02849758486428
404.98470000000000,0.02855716357120
405.22570000000000,0.02858443905517
405.46680000000000,0.02858469044212
405.70790000000000,0.02856887820302
405.94890000000000,0.02854815553886
406.19000000000000,0.02853145506588
406.43110000000000,0.02852269004092
406.67210000000000,0.02852214536920
406.91320000000000,0.02852709769209
407.15420000000000,0.02853365889146
407.39530000000000,0.02853803302438
407.63640000000000,0.02853835144785
407.87740000000000,0.02853454712535
408.11850000000000,0.02852908364899
408.35960000000000,0.02852575696170
408.60060000000000,0.02852995512375
408.84170000000000,0.02854609416588
409.08270000000000,0.02857675499409
409.32380000000000,0.02862053822105
409.56480000000000,0.02867291888167
409.80590000000000,0.02872697545527
410.04700000000000,0.02877645678641
410.28810000000000,0.02881760045040
410.52910000000000,0.02885184773243
410.77020000000000,0.02888472914536
411.01120000000000,0.02892400416636
411.25230000000000,0.02897502733745
411.49330000000000,0.02903866175382
411.73440000000000,0.02910935176389
411.97550000000000,0.02917659777276
412.21660000000000,0.02922778853515
412.45760000000000,0.02925384898220
412.69870000000000,0.02925128483532
412.93970000000000,0.02922398421265
413.18080000000000,0.02918034343830
413.42180000000000,0.02913116377150
413.66290000000000,0.02908493371157
413.90400000000000,0.02904637095359
414.14510000000000,0.02901568498668
414.38610000000000,0.02899104906567
414.62720000000000,0.02897082079584
414.86820000000000,0.02895526832326
415.10930000000000,0.02894680496264
415.35030000000000,0.02894909258388
415.59140000000000,0.02896468695428
415.83250000000000,0.02899363835125
416.07350000000000,0.02903220110923
416.31460000000000,0.02907471064231
416.55570000000000,0.02911464764895
416.79670000000000,0.02914730281363
417.03780000000000,0.02917063990207
417.27880000000000,0.02918659459377
417.51990000000000,0.02919927287556
417.76100000000000,0.02921429743555
418.00200000000000,0.02923641110750
418.24310000000000,0.02926868919176
418.48420000000000,0.02931129927962
418.72520000000000,0.02936155991030
418.96630000000000,0.02941361376788
419.20730000000000,0.02946041363822
419.44840000000000,0.02949435925591
419.68950000000000,0.02950992010805
419.93050000000000,0.02950427228126
420.17160000000000,0.02947931793679
420.41270000000000,0.02944070490142
420.65370000000000,0.02939677922186
420.89480000000000,0.02935531713439
421.13590000000000,0.02932205864104
421.37690000000000,0.02929848692478
421.61800000000000,0.02928224732787
421.85900000000000,0.02926812776090
422.10010000000000,0.02925133511271
422.34120000000000,0.02922956500292
422.58220000000000,0.02920449334454
422.82330000000000,0.02918101380350
423.06430000000000,0.02916608141872
423.30540000000000,0.02916577137482
423.54650000000000,0.02918346901603
423.78750000000000,0.02921807661935
424.02860000000000,0.02926534574533
424.26970000000000,0.02931815376376
424.51070000000000,0.02936922721224
424.75180000000000,0.02941146859924
424.99290000000000,0.02944007643405
425.23390000000000,0.02945224356238
425.47500000000000,0.02944766831991
425.71600000000000,0.02942801824006
425.95710000000000,0.02939761717835
426.19820000000000,0.02936256545809
426.43920000000000,0.02933017005993
426.68030000000000,0.02930700894235
426.92140000000000,0.02929781655958
427.16240000000000,0.02930392526245
427.40350000000000,0.02932291335666
427.64450000000000,0.02934899894241
427.88560000000000,0.02937577165248
428.12660000000000,0.02939773449226
428.36770000000000,0.02941270039530
428.60880000000000,0.02942170004807
428.84990000000000,0.02942881429873
429.09090000000000,0.02943876084235
429.33200000000000,0.02945535238098
429.57300000000000,0.02947939335288
429.81410000000000,0.02950927488155
430.05510000000000,0.02954128481973
430.29620000000000,0.02957111607101
430.53730000000000,0.02959493079465
430.77840000000000,0.02961055030375
431.01940000000000,0.02961680145922
431.26050000000000,0.02961369264062
431.50150000000000,0.02960114843186
431.74260000000000,0.02957966322728
431.98360000000000,0.02954998280817
432.22470000000000,0.02951372443055
432.46580000000000,0.02947272321916
432.70680000000000,0.02942953494132
432.94790000000000,0.02938590254653
433.18900000000000,0.02934273940738
433.43000000000000,0.02929938353823
433.67110000000000,0.02925492156651
433.91210000000000,0.02920907696657
434.15320000000000,0.02916369324271
434.39430000000000,0.02912276744740
434.63530000000000,0.02909265967047
434.87640000000000,0.02907974676086
435.11750000000000,0.02908859558147
435.35850000000000,0.02911923965055
435.59960000000000,0.02916690261609
435.84060000000000,0.02922228316096
436.08170000000000,0.02927401859508
436.32280000000000,0.02931112330875
436.56380000000000,0.02932649981047
436.80490000000000,0.02931828783680
437.04600000000000,0.02929007384155
437.28700000000000,0.02924891341843
437.52810000000000,0.02920364700847
437.76920000000000,0.02916207598667
438.01020000000000,0.02912938730373
438.25130000000000,0.02910751663916
438.49230000000000,0.02909582714603
438.73340000000000,0.02909210661919
438.97450000000000,0.02909410095565
439.21550000000000,0.02910005882634
439.45660000000000,0.02910965342823
439.69760000000000,0.02912316966652
439.93870000000000,0.02914125276772
440.17980000000000,0.02916338319880
440.42080000000000,0.02918793532416
440.66190000000000,0.02921141486520
440.90300000000000,0.02922922982032
441.14400000000000,0.02923581615839
441.38510000000000,0.02922683326474
441.62620000000000,0.02919973375163
