WaveNumber,AlMW25
399.922400000000,0.028621235439
400.163400000000,0.028627285317
400.404500000000,0.028641106501
400.645500000000,0.028658131733
400.886600000000,0.028674689293
401.127700000000,0.028689744334
401.368700000000,0.028703933686
401.609800000000,0.028719128034
401.850900000000,0.028736103513
402.091900000000,0.028753894930
402.333000000000,0.028769248485
402.574000000000,0.028778183995
402.815100000000,0.028777975035
403.056200000000,0.028768402696
403.297200000000,0.028752571519
403.538300000000,0.028735566188
403.779400000000,0.028722471387
404.020400000000,0.028716550865
404.261500000000,0.028717943929
404.502500000000,0.028723406730
404.743600000000,0.028728302355
404.984700000000,0.028728819779
405.225700000000,0.028723914203
405.466800000000,0.028715854333
405.707900000000,0.028709416388
405.948900000000,0.028710132821
406.190000000000,0.028721615648
406.431100000000,0.028744053928
406.672100000000,0.028774263515
406.913200000000,0.028806801509
407.154200000000,0.028836433970
407.395300000000,0.028860285215
407.636400000000,0.028879210984
407.877400000000,0.028897708883
408.118500000000,0.028921788989
408.359600000000,0.028956267322
408.600600000000,0.029002268284
408.841700000000,0.029055712188
409.082700000000,0.029108170996
409.323800000000,0.029148520099
409.564800000000,0.029166510525
409.805900000000,0.029156181951
410.047000000000,0.029117882642
410.288100000000,0.029058816730
410.529100000000,0.028991402385
410.770200000000,0.028930664796
411.011200000000,0.028890773415
411.252300000000,0.028881638895
411.493300000000,0.028907480232
411.734400000000,0.028966794905
411.975500000000,0.029052488240
412.216600000000,0.029154361017
412.457600000000,0.029260661748
412.698700000000,0.029359967308
412.939700000000,0.029442635703
413.180800000000,0.029501074736
413.421800000000,0.029530428584
413.662900000000,0.029529463390
413.904000000000,0.029500248849
414.145100000000,0.029448367166
414.386100000000,0.029382485191
414.627200000000,0.029313299665
414.868200000000,0.029251547129
415.109300000000,0.029205765077
415.350300000000,0.029180779480
415.591400000000,0.029176311725
415.832500000000,0.029187346782
416.073500000000,0.029205357109
416.314600000000,0.029220581308
416.555700000000,0.029225208270
416.796700000000,0.029215277714
417.037800000000,0.029192152852
417.278800000000,0.029162082572
417.519900000000,0.029134539707
417.761000000000,0.029119594121
418.002000000000,0.029125096724
418.243100000000,0.029154589878
418.484200000000,0.029206302402
418.725200000000,0.029273836153
418.966300000000,0.029347360079
419.207300000000,0.029415948578
419.448400000000,0.029469959658
419.689500000000,0.029502915571
419.930500000000,0.029512050090
420.171600000000,0.029498567221
420.412700000000,0.029467024273
420.653700000000,0.029424346764
420.894800000000,0.029378315950
421.135900000000,0.029336563833
421.376900000000,0.029305259696
421.618000000000,0.029288144910
421.859000000000,0.029285766751
422.100100000000,0.029295189833
422.341200000000,0.029310722496
422.582200000000,0.029325260114
422.823300000000,0.029331747812
423.064300000000,0.029325717835
423.305400000000,0.029306901521
423.546500000000,0.029279577566
423.787500000000,0.029251547129
424.028600000000,0.029232213392
424.269700000000,0.029229467066
424.510700000000,0.029247228631
424.751800000000,0.029283677155
424.992900000000,0.029331608505
425.233900000000,0.029380395596
425.475000000000,0.029418933715
425.716000000000,0.029438914232
425.957100000000,0.029437312209
426.198200000000,0.029417311791
426.439200000000,0.029387092253
426.680300000000,0.029357201081
426.921400000000,0.029337548928
427.162400000000,0.029334961809
427.403500000000,0.029351370113
427.644500000000,0.029384186720
427.885600000000,0.029427590612
428.126600000000,0.029474566719
428.367700000000,0.029519124865
428.608800000000,0.029557145561
428.849900000000,0.029586837724
429.090900000000,0.029608111801
429.332000000000,0.029621365810
429.573000000000,0.029626221633
429.814100000000,0.029621176751
430.055100000000,0.029604320677
430.296200000000,0.029573931982
430.537300000000,0.029530000715
430.778400000000,0.029475243350
431.019400000000,0.029415401303
431.260500000000,0.029358295631
431.501500000000,0.029312195164
431.742600000000,0.029283657254
431.983600000000,0.029275875997
432.224700000000,0.029287577734
432.465800000000,0.029313468823
432.706800000000,0.029345638650
432.947900000000,0.029376007444
433.189000000000,0.029398525328
433.430000000000,0.029410644984
433.671100000000,0.029413222153
433.912100000000,0.029410097709
434.153200000000,0.029405848864
434.394300000000,0.029404077683
434.635300000000,0.029406197130
434.876400000000,0.029411321615
435.117500000000,0.029417053079
435.358500000000,0.029420456135
435.599600000000,0.029419590445
435.840600000000,0.029413799279
436.081700000000,0.029403719466
436.322800000000,0.029390226647
436.563800000000,0.029373828294
436.804900000000,0.029354285597
437.046000000000,0.029330732865
437.287000000000,0.029302762131
437.528100000000,0.029271149530
437.769200000000,0.029238462279
438.010200000000,0.029208740264
438.251300000000,0.029186162677
438.492300000000,0.029173674854
438.733400000000,0.029171923574
438.974500000000,0.029178550578
439.215500000000,0.029188849301
439.456600000000,0.029197307189
439.697600000000,0.029199227627
439.938700000000,0.029192341911
440.179800000000,0.029177147563
440.420800000000,0.029156440663
440.661900000000,0.029134310847
440.903000000000,0.029114409933
441.144000000000,0.029098837468
441.385100000000,0.029087643204
441.626200000000,0.029079314671
441.867200000000,0.029071463761
442.108300000000,0.029061602858
442.349300000000,0.029047980683
442.590400000000,0.029030179315
442.831500000000,0.029008537072
443.072500000000,0.028984257957
443.313600000000,0.028959013648
443.554700000000,0.028934674830
443.795700000000,0.028913301249
444.036800000000,0.028896783491
444.277800000000,0.028886494718
444.518900000000,0.028883211067
444.759900000000,0.028886733529
445.001000000000,0.028895738693
445.242100000000,0.028908146912
445.483200000000,0.028921997948
445.724200000000,0.028935530570
445.965300000000,0.028947978591
446.206300000000,0.028959123103
446.447400000000,0.028969292470
446.688400000000,0.028978128475
446.929500000000,0.028984238056
447.170600000000,0.028984805232
447.411700000000,0.028976426947
447.652700000000,0.028955889204
