Angle,Intensity
5.00896514,2828
5.022095423,2900
5.035225705,2862
5.048355988,2846
5.061486271,2823
5.074616553,2883
5.087746836,2885
5.100877119,2933
5.114007401,2898
5.127137684,2903
5.140267967,2832
5.153398249,2824
5.166528532,2878
5.179658815,2887
5.192789097,2929
5.20591938,2956
5.219049663,2901
5.232179945,3025
5.245310228,3032
5.258440511,3091
5.271570794,3051
5.284701076,3098
5.297831359,2947
5.310961642,2993
5.324091924,2998
5.337222207,2936
5.35035249,3027
5.363482772,3118
5.376613055,3125
5.389743338,3025
5.40287362,2970
5.416003903,3020
5.429134186,3104
5.442264468,3059
5.455394751,3107
5.468525034,3058
5.481655316,3076
5.494785599,3072
5.507915882,3124
5.521046164,3130
5.534176447,3133
5.54730673,3150
5.560437012,3242
5.573567295,3193
5.586697578,3177
5.59982786,3287
5.612958143,3235
5.626088426,3205
5.639218708,3181
5.652348991,3247
5.665479274,3226
5.678609556,3271
5.691739839,3239
5.704870122,3212
5.718000405,3234
5.731130687,3258
5.74426097,3233
5.757391253,3282
5.770521535,3358
5.783651818,3362
5.796782101,3268
5.809912383,3303
5.823042666,3301
5.836172949,3270
5.849303231,3368
5.862433514,3301
5.875563797,3325
5.888694079,3347
5.901824362,3404
5.914954645,3357
5.928084927,3303
5.94121521,3410
5.954345493,3506
5.967475775,3356
5.980606058,3370
5.993736341,3429
6.006866623,3477
6.019996906,3460
6.033127189,3444
6.046257471,3426
6.059387754,3408
6.072518037,3469
6.085648319,3468
6.098778602,3436
6.111908885,3499
6.125039167,3554
6.13816945,3470
6.151299733,3510
6.164430016,3517
6.177560298,3654
6.190690581,3594
6.203820864,3511
6.216951146,3599
6.230081429,3518
6.243211712,3551
6.256341994,3536
6.269472277,3672
6.28260256,3653
6.295732842,3670
6.308863125,3575
6.321993408,3598
6.33512369,3619
6.348253973,3602
6.361384256,3658
6.374514538,3655
6.387644821,3630
6.400775104,3633
6.413905386,3572
6.427035669,3682
6.440165952,3629
6.453296234,3799
6.466426517,3785
6.4795568,3629
6.492687082,3707
6.505817365,3721
6.518947648,3823
6.53207793,3696
6.545208213,3830
6.558338496,3686
6.571468778,3693
6.584599061,3789
6.597729344,3815
6.610859627,3805
6.623989909,3816
6.637120192,3930
6.650250475,3878
6.663380757,3780
6.67651104,3846
6.689641323,4028
6.702771605,3919
6.715901888,3838
6.729032171,3895
6.742162453,3998
6.755292736,3960
6.768423019,3820
6.781553301,3945
6.794683584,3978
6.807813867,3884
6.820944149,3763
6.834074432,3921
6.847204715,3810
6.860334997,3995
6.87346528,4006
6.886595563,4034
6.899725845,3968
6.912856128,4014
6.925986411,3897
6.939116693,3963
6.952246976,3871
6.965377259,4001
6.978507541,3973
6.991637824,4100
7.004768107,3940
7.017898389,4042
7.031028672,4043
7.044158955,4042
7.057289237,4057
7.07041952,4045
7.083549803,4106
7.096680086,4128
7.109810368,4060
7.122940651,4095
7.136070934,4218
7.149201216,4115
7.162331499,4208
7.175461782,4163
7.188592064,4285
7.201722347,4102
7.21485263,4231
7.227982912,4218
7.241113195,4244
7.254243478,4220
7.26737376,4135
7.280504043,4220
7.293634326,4205
7.306764608,4200
7.319894891,4381
7.333025174,4252
7.346155456,4284
7.359285739,4323
7.372416022,4197
7.385546304,4208
7.398676587,4301
7.41180687,4245
7.424937152,4305
7.438067435,4267
7.451197718,4369
7.464328,4308
7.477458283,4316
7.490588566,4315
7.503718848,4254
7.516849131,4373
7.529979414,4355
7.543109697,4360
7.556239979,4458
7.569370262,4434
7.582500545,4284
7.595630827,4316
7.60876111,4363
7.621891393,4467
7.635021675,4416
7.648151958,4440
7.661282241,4493
7.674412523,4435
7.687542806,4350
7.700673089,4355
7.713803371,4393
7.726933654,4418
7.740063937,4437
7.753194219,4555
7.766324502,4486
7.779454785,4485
7.792585067,4550
7.80571535,4401
7.818845633,4470
7.831975915,4608
7.845106198,4546
7.858236481,4662
7.871366763,4552
7.884497046,4482
7.897627329,4659
7.910757611,4572
7.923887894,4518
7.937018177,4587
7.950148459,4611
7.963278742,4603
7.976409025,4732
7.989539308,4600
8.00266959,4675
8.015799873,4647
8.028930156,4588
8.042060438,4703
8.055190721,4637
8.068321004,4631
8.081451286,4498
8.094581569,4634
8.107711852,4717
8.120842134,4620
8.133972417,4696
8.1471027,4683
8.160232982,4651
8.173363265,4665
8.186493548,4620
8.19962383,4721
8.212754113,4665
8.225884396,4622
8.239014678,4733
8.252144961,4743
8.265275244,4778
8.278405526,4816
8.291535809,4775
8.304666092,4855
8.317796374,4847
8.330926657,4654
8.34405694,4814
8.357187222,4683
8.370317505,4767
8.383447788,4895
8.39657807,4736
8.409708353,4761
8.422838636,4780
8.435968919,4900
8.449099201,4803
8.462229484,4733
8.475359767,4857
8.488490049,4849
8.501620332,4900
8.514750615,4831
8.527880897,4861
8.54101118,4895
8.554141463,4917
8.567271745,4932
8.580402028,4927
8.593532311,4898
8.606662593,4812
8.619792876,5003
8.632923159,4996
8.646053441,4935
8.659183724,4897
8.672314007,4990
8.685444289,5027
8.698574572,4943
8.711704855,4963
8.724835137,4987
8.73796542,4984
8.751095703,4915
8.764225985,4920
8.777356268,4824
8.790486551,5036
8.803616833,4940
8.816747116,5047
8.829877399,4961
8.843007681,5082
8.856137964,4958
8.869268247,5040
8.882398529,4964
8.895528812,5031
8.908659095,5045
8.921789378,5013
8.93491966,4894
8.948049943,5220
8.961180226,5164
8.974310508,5085
8.987440791,5148
9.000571074,5286
9.013701356,5024
9.026831639,5037
9.039961922,5116
9.053092204,5035
9.066222487,5178
9.07935277,5199
9.092483052,5257
9.105613335,5008
9.118743618,5171
9.1318739,5152
9.145004183,5192
9.158134466,5156
9.171264748,5037
9.184395031,5042
9.197525314,5156
9.210655596,5056
9.223785879,5059
9.236916162,5136
9.250046444,5178
9.263176727,5245
9.27630701,5180
9.289437292,5334
9.302567575,5202
9.315697858,5273
9.32882814,5197
9.341958423,5063
9.355088706,5310
9.368218989,5209
9.381349271,5366
9.394479554,5286
9.407609837,5219
9.420740119,5459
9.433870402,5279
9.447000685,5240
9.460130967,5180
9.47326125,5346
9.486391533,5271
9.499521815,5422
9.512652098,5317
9.525782381,5339
9.538912663,5283
9.552042946,5403
9.565173229,5455
9.578303511,5312
9.591433794,5244
9.604564077,5400
9.617694359,5451
9.630824642,5509
9.643954925,5431
9.657085207,5417
9.67021549,5413
9.683345773,5351
9.696476055,5495
9.709606338,5338
9.722736621,5452
9.735866903,5374
9.748997186,5400
9.762127469,5447
9.775257751,5387
9.788388034,5487
9.801518317,5522
9.8146486,5400
9.827778882,5402
9.840909165,5418
9.854039448,5404
9.86716973,5609
9.880300013,5416
9.893430296,5515
9.906560578,5541
9.919690861,5481
9.932821144,5516
9.945951426,5538
9.959081709,5425
9.972211992,5488
9.985342274,5459
9.998472557,5532
10.01160284,5576
10.02473312,5508
10.03786341,5433
10.05099369,5436
10.06412397,5675
10.07725425,5437
10.09038454,5479
10.10351482,5584
10.1166451,5544
10.12977538,5729
10.14290567,5514
10.15603595,5534
10.16916623,5489
10.18229651,5648
10.1954268,5689
10.20855708,5474
10.22168736,5656
10.23481765,5614
10.24794793,5589
10.26107821,5519
10.27420849,5549
10.28733878,5532
10.30046906,5621
10.31359934,5702
10.32672962,5696
10.33985991,5625
10.35299019,5654
10.36612047,5564
10.37925076,5667
10.39238104,5677
10.40551132,5651
10.4186416,5847
10.43177189,5629
10.44490217,5674
10.45803245,5697
10.47116273,5700
10.48429302,5698
10.4974233,5669
10.51055358,5817
10.52368386,5727
10.53681415,5733
10.54994443,5552
10.56307471,5784
