Angle,Intensity
5.00896514,3049
5.022095423,2998
5.035225705,3007
5.048355988,3088
5.061486271,3024
5.074616553,3033
5.087746836,3080
5.100877119,3035
5.114007401,2980
5.127137684,3122
5.140267967,3062
5.153398249,3050
5.166528532,3099
5.179658815,3148
5.192789097,2977
5.20591938,3060
5.219049663,3045
5.232179945,2987
5.245310228,3103
5.258440511,3036
5.271570794,3115
5.284701076,3100
5.297831359,3133
5.310961642,3205
5.324091924,3124
5.337222207,3087
5.35035249,3084
5.363482772,3097
5.376613055,3208
5.389743338,3199
5.40287362,3196
5.416003903,3154
5.429134186,3190
5.442264468,3208
5.455394751,3155
5.468525034,3280
5.481655316,3181
5.494785599,3136
5.507915882,3180
5.521046164,3273
5.534176447,3209
5.54730673,3153
5.560437012,3194
5.573567295,3411
5.586697578,3215
5.59982786,3294
5.612958143,3338
5.626088426,3173
5.639218708,3268
5.652348991,3345
5.665479274,3286
5.678609556,3210
5.691739839,3254
5.704870122,3291
5.718000405,3292
5.731130687,3371
5.74426097,3363
5.757391253,3416
5.770521535,3326
5.783651818,3385
5.796782101,3318
5.809912383,3310
5.823042666,3296
5.836172949,3386
5.849303231,3518
5.862433514,3423
5.875563797,3416
5.888694079,3464
5.901824362,3442
5.914954645,3483
5.928084927,3527
5.94121521,3381
5.954345493,3428
5.967475775,3363
5.980606058,3427
5.993736341,3427
6.006866623,3502
6.019996906,3406
6.033127189,3505
6.046257471,3516
6.059387754,3507
6.072518037,3458
6.085648319,3489
6.098778602,3490
6.111908885,3507
6.125039167,3473
6.13816945,3433
6.151299733,3487
6.164430016,3511
6.177560298,3517
6.190690581,3536
6.203820864,3540
6.216951146,3501
6.230081429,3553
6.243211712,3530
6.256341994,3606
6.269472277,3494
6.28260256,3602
6.295732842,3634
6.308863125,3573
6.321993408,3553
6.33512369,3582
6.348253973,3566
6.361384256,3622
6.374514538,3586
6.387644821,3674
6.400775104,3678
6.413905386,3682
6.427035669,3604
6.440165952,3667
6.453296234,3742
6.466426517,3605
6.4795568,3653
6.492687082,3679
6.505817365,3721
6.518947648,3703
6.53207793,3719
6.545208213,3761
6.558338496,3826
6.571468778,3797
6.584599061,3809
6.597729344,3774
6.610859627,3715
6.623989909,3726
6.637120192,3658
6.650250475,3690
6.663380757,3703
6.67651104,3701
6.689641323,3855
6.702771605,3769
6.715901888,3689
6.729032171,3796
6.742162453,3842
6.755292736,3775
6.768423019,3910
6.781553301,4007
6.794683584,3768
6.807813867,3876
6.820944149,3981
6.834074432,3870
6.847204715,3987
6.860334997,3919
6.87346528,3850
6.886595563,3767
6.899725845,3947
6.912856128,3914
6.925986411,3776
6.939116693,3862
6.952246976,4005
6.965377259,3917
6.978507541,3834
6.991637824,3894
7.004768107,3825
7.017898389,3926
7.031028672,3869
7.044158955,3819
7.057289237,4027
7.07041952,4043
7.083549803,3938
7.096680086,4000
7.109810368,3985
7.122940651,3994
7.136070934,3989
7.149201216,3986
7.162331499,3888
7.175461782,3968
7.188592064,4082
7.201722347,4028
7.21485263,4074
7.227982912,4002
7.241113195,4021
7.254243478,4003
7.26737376,4037
7.280504043,4032
7.293634326,4006
7.306764608,4030
7.319894891,4202
7.333025174,4097
7.346155456,3914
7.359285739,4094
7.372416022,4150
7.385546304,4081
7.398676587,4134
7.41180687,4081
7.424937152,4054
7.438067435,4023
7.451197718,4140
7.464328,4093
7.477458283,4094
7.490588566,4226
7.503718848,4044
7.516849131,4086
7.529979414,4068
7.543109697,4180
7.556239979,4080
7.569370262,4108
7.582500545,4148
