Angle,Intensity
5.00896514,3058
5.022095423,3043
5.035225705,3108
5.048355988,3170
5.061486271,3066
5.074616553,3023
5.087746836,3221
5.100877119,3069
5.114007401,3205
5.127137684,3166
5.140267967,3134
5.153398249,3179
5.166528532,3235
5.179658815,3082
5.192789097,3122
5.20591938,3161
5.219049663,3179
5.232179945,3250
5.245310228,3273
5.258440511,3106
5.271570794,3248
5.284701076,3236
5.297831359,3169
5.310961642,3211
5.324091924,3243
5.337222207,3293
5.35035249,3208
5.363482772,3391
5.376613055,3285
5.389743338,3212
5.40287362,3364
5.416003903,3333
5.429134186,3305
5.442264468,3356
5.455394751,3361
5.468525034,3290
5.481655316,3333
5.494785599,3358
5.507915882,3258
5.521046164,3346
5.534176447,3337
5.54730673,3366
5.560437012,3412
5.573567295,3436
5.586697578,3374
5.59982786,3320
5.612958143,3365
5.626088426,3464
5.639218708,3587
5.652348991,3493
5.665479274,3373
5.678609556,3456
5.691739839,3360
5.704870122,3446
5.718000405,3440
5.731130687,3526
5.74426097,3466
5.757391253,3410
5.770521535,3456
5.783651818,3518
5.796782101,3451
5.809912383,3581
5.823042666,3568
5.836172949,3663
5.849303231,3566
5.862433514,3591
5.875563797,3589
5.888694079,3573
5.901824362,3621
5.914954645,3635
5.928084927,3646
5.94121521,3620
5.954345493,3507
5.967475775,3674
5.980606058,3711
5.993736341,3662
6.006866623,3666
6.019996906,3667
6.033127189,3728
6.046257471,3674
6.059387754,3706
6.072518037,3716
6.085648319,3751
6.098778602,3731
6.111908885,3813
6.125039167,3870
6.13816945,3696
6.151299733,3804
6.164430016,3774
6.177560298,3898
6.190690581,3707
6.203820864,3830
6.216951146,3826
6.230081429,3792
6.243211712,3802
6.256341994,3940
6.269472277,3863
6.28260256,3838
6.295732842,3891
6.308863125,3846
6.321993408,3993
6.33512369,3871
6.348253973,3786
6.361384256,3865
6.374514538,3991
6.387644821,3980
6.400775104,3915
6.413905386,3905
6.427035669,4021
6.440165952,3812
6.453296234,3828
6.466426517,3888
6.4795568,4031
6.492687082,4019
6.505817365,3855
6.518947648,4051
6.53207793,3953
6.545208213,4033
6.558338496,4030
6.571468778,4014
6.584599061,4080
6.597729344,4096
6.610859627,4088
6.623989909,4222
6.637120192,4050
6.650250475,4047
6.663380757,4067
6.67651104,4053
6.689641323,4087
6.702771605,4083
6.715901888,4027
6.729032171,4083
6.742162453,4070
6.755292736,4061
6.768423019,4137
6.781553301,4072
6.794683584,4069
6.807813867,4175
6.820944149,4195
6.834074432,4113
6.847204715,4143
6.860334997,4277
6.87346528,4125
6.886595563,4188
6.899725845,4189
6.912856128,4356
6.925986411,4153
6.939116693,4187
6.952246976,4303
6.965377259,4224
6.978507541,4257
6.991637824,4256
7.004768107,4277
7.017898389,4290
7.031028672,4351
7.044158955,4227
7.057289237,4268
7.07041952,4284
